Tickers,Date,Open,High,Low,Close,Adj Close,Volume
QQQ,2019-01-28,163.02000427246094,163.1199951171875,161.75,163.11000061035156,157.14869689941406,33491200
QQQ,2019-01-29,163.1999969482422,163.24000549316406,160.99000549316406,161.57000732421875,155.66502380371094,30784200
QQQ,2019-01-30,163.39999389648438,166.27999877929688,162.88999938964844,165.67999267578125,159.62478637695312,41346500
QQQ,2019-01-31,166.6999969482422,168.99000549316406,166.47000122070312,168.16000366210938,162.0141143798828,37258400
QQQ,2019-02-01,167.3300018310547,168.60000610351562,166.99000549316406,167.4499969482422,161.33009338378906,32143700
QQQ,2019-02-04,167.47999572753906,169.52999877929688,167.3300018310547,169.52999877929688,163.33409118652344,26718800
QQQ,2019-02-05,169.75999450683594,171.22999572753906,169.69000244140625,171.02999877929688,164.77923583984375,28156400
QQQ,2019-02-06,171.07000732421875,171.3699951171875,169.75,170.52000427246094,164.2878875732422,27970000
QQQ,2019-02-07,169.02999877929688,169.4499969482422,166.9499969482422,168.22999572753906,162.0815887451172,42036200
QQQ,2019-02-08,166.75999450683594,168.58999633789062,166.57000732421875,168.55999755859375,162.39955139160156,29020700
QQQ,2019-02-11,169.1699981689453,169.5800018310547,167.97999572753906,168.39999389648438,162.24539184570312,21434100
QQQ,2019-02-12,169.6300048828125,171.13999938964844,169.3300018310547,170.88999938964844,164.64437866210938,29722100
QQQ,2019-02-13,171.64999389648438,172.16000366210938,170.82000732421875,171.00999450683594,164.75999450683594,26094100
QQQ,2019-02-14,170.39999389648438,171.8300018310547,169.8300018310547,171.22000122070312,164.9623260498047,30326800
QQQ,2019-02-15,172.52000427246094,172.55999755859375,171.13999938964844,171.94000244140625,165.656005859375,32521700
QQQ,2019-02-19,171.41000366210938,172.8000030517578,171.3800048828125,172.27999877929688,165.98353576660156,19487700
QQQ,2019-02-20,172.39999389648438,173.0800018310547,171.32000732421875,172.25,165.95469665527344,32593000
QQQ,2019-02-21,171.7899932861328,172.25999450683594,170.7100067138672,171.6199951171875,165.34771728515625,25207400
QQQ,2019-02-22,171.99000549316406,173.00999450683594,171.89999389648438,172.88999938964844,166.5712890625,27735400
QQQ,2019-02-25,174.2100067138672,174.66000366210938,173.39999389648438,173.52000427246094,167.17828369140625,32608800
QQQ,2019-02-26,173.10000610351562,174.25,172.80999755859375,173.6999969482422,167.35165405273438,21939700
QQQ,2019-02-27,172.89999389648438,173.8000030517578,171.75999450683594,173.58999633789062,167.24569702148438,25162000
QQQ,2019-02-28,173.0500030517578,173.80999755859375,172.6999969482422,173.19000244140625,166.8603057861328,25085500
