review-details_overallRating__VDxCx,timestamp_reviewDate__wvu2v,review-details_detailsLink__NxIv5,review-details_detailsLink__NxIv5 href,review-details_employee__5iA6v,review-details_employeeDetails__BvAwX,review-details_isExpanded__bLJng,review-details_isExpanded__bLJng 2,review-details_location__E_Ine,review-details_isCollapsed__Bsg_9,review-details_isCollapsed__Bsg_9 2,expand-button_ExpandButton__FlBlZ
3.0,7 Aug 2020,radar communication,https://www.glassdoor.sg/Reviews/Employee-Review-Bharat-Electronics-RVW34695257.htm,Anonymous intern,"Former intern, less than 1 year","research, good environment, nice food, project-based, access to a mentor","low salary, hard to get in, infrastructure, transportation, work flow",,,,
4.0,19 Aug 2020,Brilliant company to gain in insight into the world of electronics.,https://www.glassdoor.sg/Reviews/Employee-Review-Bharat-Electronics-RVW35076967.htm,Anonymous employee,Former employee,Bleeding edge technology is used.,The efficiency can be improved.,New Delhi,,,
4.0,24 Aug 2020,Hard core electronics company,https://www.glassdoor.sg/Reviews/Employee-Review-Bharat-Electronics-RVW35240157.htm,Senior engineer,"Current employee, more than 8 years","Dedication towards work is high, technically very knowledgeable","Not all departments are good, needs better managerial skills",Bengaluru,,,
4.0,22 Oct 2020,A good company,https://www.glassdoor.sg/Reviews/Employee-Review-Bharat-Electronics-RVW37517806.htm,Graduate apprentice trainee,Former employee,,,Bengaluru,"Good platform for learning and developing skills,
Good working environment and culture.",No cons as far as my knowledge.,Show more
4.0,10 Dec 2020,Good PSU to work,https://www.glassdoor.sg/Reviews/Employee-Review-Bharat-Electronics-RVW39325962.htm,Deputy engineer,"Current employee, more than 3 years",,,Bengaluru,Work life Balance and great culture,Stagnant growth and old tech stack being used,Show more
3.0,16 Jan 2021,Good PSU to work,https://www.glassdoor.sg/Reviews/Employee-Review-Bharat-Electronics-RVW40829073.htm,Project manager,Current employee,"Among the PSU, BEL is having a professional work culture",It takes lot of time in Decision making.,Bengaluru,,,
4.0,21 Jan 2021,good,https://www.glassdoor.sg/Reviews/Employee-Review-Bharat-Electronics-RVW41182106.htm,Anonymous employee,Current employee,it is a public sector unit,growth of the individual is based in their year of service not on performance.,,,,
4.0,15 Mar 2021,Good Company,https://www.glassdoor.sg/Reviews/Employee-Review-Bharat-Electronics-RVW44054301.htm,Anonymous employee,Current employee,,,Ghaziabad,"Corruption free environment
Hardworking culture
Good work life balance
Freedom to choose work profile",6 days working . Sat is not off.,Show more
3.0,5 Apr 2021,"cheap company, good for freshers",https://www.glassdoor.sg/Reviews/Employee-Review-Bharat-Electronics-RVW45031212.htm,Senior engineer,Current employee,"starting salary is good, good for freshers","salary remains almost same.. delayed promotion , 6 day week",,,,
5.0,18 Dec 2021,Work life balance,https://www.glassdoor.sg/Reviews/Employee-Review-Bharat-Electronics-RVW56854346.htm,Deputy engineer,"Current employee, more than 3 years",Good place to work and to maintain better work life balance,Fixed timings no flexibility. Less salary,Bengaluru,,,
3.0,9 Jan 2022,Helped to build my career.,https://www.glassdoor.sg/Reviews/Employee-Review-Bharat-Electronics-RVW57632304.htm,Trainee engineer,Former contractor,Gives opportunity to get some experience. From then we have to thrive.,They won't treat graduates properly.,Bengaluru,,,
3.0,4 Sept 2013,very good,https://www.glassdoor.sg/Reviews/Employee-Review-Bharat-Electronics-RVW3009962.htm,Anonymous employee,Current employee,,,,"testing, developing.. u get to do everything",work taken lightly. some work n some dont,Show more
4.0,6 Apr 2014,can get good knowledge about defense oriented products,https://www.glassdoor.sg/Reviews/Employee-Review-Bharat-Electronics-RVW4009139.htm,Graduate apprentice trainee,"Current employee, less than 1 year",friendly working environment with good resources,smart work required and balanced co-ordination,Bengaluru,,,
5.0,21 Jan 2016,Pros n cons of BEL,https://www.glassdoor.sg/Reviews/Employee-Review-Bharat-Electronics-RVW9291394.htm,Anonymous intern,Former intern,Good working environment &lots of opportunities to learn,Not Applicable for Bharat Electronics Limited,Bengaluru,,,
5.0,2 Feb 2016,Technical Intern,https://www.glassdoor.sg/Reviews/Employee-Review-Bharat-Electronics-RVW9433667.htm,Software technical intern,"Former employee, less than 1 year",Really a good learning environment.,Bit of more hard stuff given to the interns to work on.,Panchkula Gurukul,,,
5.0,20 Sept 2016,LEARNING AT ITS PEAK,https://www.glassdoor.sg/Reviews/Employee-Review-Bharat-Electronics-RVW12013292.htm,Upt trainee,"Former intern, less than 1 year",Lots to learn and technical skills get fine tuned,Employees procrastinate when asked for help,Ghaziabad,,,
4.0,31 Jan 2018,contract enineer,https://www.glassdoor.sg/Reviews/Employee-Review-Bharat-Electronics-RVW19001091.htm,Anonymous contractor,Former contractor,"It is a good company,we can learn many things","work pressure will be more,no value for contract employees",,,,
5.0,12 Jul 2018,Must work place for 1-2 years,https://www.glassdoor.sg/Reviews/Employee-Review-Bharat-Electronics-RVW21450341.htm,Anonymous intern,"Former intern, less than 1 year","enjoyable work environment, No work pressure",No development in your salary or position,Bengaluru,,,
3.0,6 Feb 2019,Good for settlement,https://www.glassdoor.sg/Reviews/Employee-Review-Bharat-Electronics-RVW24566533.htm,Deputy engineer,"Current employee, less than 1 year",,,,"Good if you want to settle up early
Money wise it is good","Work is not that systematic
Incompetent bosses",Show more
4.0,22 Apr 2019,Gapp Trainee,https://www.glassdoor.sg/Reviews/Employee-Review-Bharat-Electronics-RVW25784316.htm,Anonymous intern,Former intern,Food is Good but u won't learn anything,Please don't go as trainee it is waste of time,,,,
4.0,9 May 2019,quality analyst graduate trainee,https://www.glassdoor.sg/Reviews/Employee-Review-Bharat-Electronics-RVW26056119.htm,Anonymous employee,Former employee,"very educated staffs, a place to learn  about the quality",In Bharat electronics no cons,,,,
4.0,12 Sept 2019,Good place to work,https://www.glassdoor.sg/Reviews/Employee-Review-Bharat-Electronics-RVW29193179.htm,Graduate trainee,"Former contractor, more than 1 year","Well organised , can learn new things,best place to start career",Defence company of central government,,,,
3.0,1 Feb 2020,Software Engineer,https://www.glassdoor.sg/Reviews/Employee-Review-Bharat-Electronics-RVW31631070.htm,Software engineer,"Current employee, more than 1 year",Less Work Pressure compared to other companies.,"Low pay scale, more restrictions, low quality of food.",Bengaluru,,,
5.0,7 Apr 2020,Good company to work with,https://www.glassdoor.sg/Reviews/Employee-Review-Bharat-Electronics-RVW32640774.htm,Senior engineer,Current employee,,,Bengaluru,"Multiple responsibilities at every stage 
Core hardware design",No cons for freshers at all,Show more
4.0,12 May 2020,Great Govt Place,https://www.glassdoor.sg/Reviews/Employee-Review-Bharat-Electronics-RVW33131195.htm,Summer trainee,"Former intern, less than 1 year",Infra is nice. They have 2 in-campus canteens too,You are not allowed mobiles inside the campus,Ghaziabad,,,
4.0,15 Jul 2020,Apprentice Trainee At Bharat Electronics,https://www.glassdoor.sg/Reviews/Employee-Review-Bharat-Electronics-RVW34256118.htm,Apprentice,"Former intern, more than 1 year",Comfortable Job Timings and Less Burden.,Less Stipend and Mobile Not Allowed Inside Company Premises.,Ghaziabad,,,
5.0,22 Aug 2020,Summer Intern,https://www.glassdoor.sg/Reviews/Employee-Review-Bharat-Electronics-RVW35167446.htm,Summer intern,Former intern,,,,"1. Government Organization
2. Lot of opportunities to learn.",1. I don't think there is any bad point.,Show more
5.0,7 Sept 2020,Great company to work with.,https://www.glassdoor.sg/Reviews/Employee-Review-Bharat-Electronics-RVW35692041.htm,Deputy engineer/product design engineer,"Current employee, more than 3 years",Great work life balance. Exposure to new technologies.,There are 6 working days here.,Ghaziabad,,,
4.0,16 Sept 2020,Good work life balance,https://www.glassdoor.sg/Reviews/Employee-Review-Bharat-Electronics-RVW36020840.htm,Engineer,"Former employee, more than 3 years",,,New Delhi,"Good projects
Good benefits
Work life balance
Good benefits","Hierarchy in management
Please have more open outlook in recognizing talent",Show more
3.0,22 Sept 2020,Nice company,https://www.glassdoor.sg/Reviews/Employee-Review-Bharat-Electronics-RVW36257947.htm,Summer intern,"Former intern, less than 1 year",Best place to learn about communication technologies of our defence forces.,No proper guidance is given to the interns.,Ghaziabad,,,
4.0,9 Dec 2020,good for those who want a peaceful life,https://www.glassdoor.sg/Reviews/Employee-Review-Bharat-Electronics-RVW39270237.htm,Anonymous employee,Current employee,work life balance is awesome. Job security,"lack of growth, less pay",,,,
4.0,9 Dec 2020,Good PSU to work with.,https://www.glassdoor.sg/Reviews/Employee-Review-Bharat-Electronics-RVW39296607.htm,Deputy engineer,Former employee,Salary is good and additional perks are also satisfactory.,Less focus on cutting edge technology.,,,,
2.0,21 Feb 2021,Radars,https://www.glassdoor.sg/Reviews/Employee-Review-Bharat-Electronics-RVW42836543.htm,Member(research staff),"Current employee, more than 3 years",,,Jālahalli,Good learning opportunity in first few years,"Like any other govt company, lots of red tape",Show more
4.0,24 Feb 2021,Experience,https://www.glassdoor.sg/Reviews/Employee-Review-Bharat-Electronics-RVW43020289.htm,Deputy manager,"Current employee, more than 8 years",Good place to explore as much as u can,6 working days per week. Else good place to work,Bengaluru,,,
5.0,16 Apr 2021,Its great work place,https://www.glassdoor.sg/Reviews/Employee-Review-Bharat-Electronics-RVW45637768.htm,Contract engineer,"Former employee, more than 1 year","Transportation facilities available, Good environment to work",job for a fixed term is not good,Bengaluru,,,
3.0,29 Apr 2021,Good.,https://www.glassdoor.sg/Reviews/Employee-Review-Bharat-Electronics-RVW46234976.htm,Graduate engineering apprentice trainee,"Former intern, less than 1 year",,,Bengaluru,Very nice and excellent service.,"Partiality, less stipend to trainees . Torture, No good medical care,No company buses are available.",Show more
