"review-details_overallRating__VDxCx","timestamp_reviewDate__wvu2v","review-details_detailsLink__NxIv5","review-details_detailsLink__NxIv5 href","review-details_employee__5iA6v","review-details_employeeDetails__BvAwX","review-details_location__E_Ine","review-details_isCollapsed__Bsg_9","review-details_isCollapsed__Bsg_9 2","expand-button_ExpandButton__FlBlZ"
"5.0","27 Jun 2022","Great work culture, great management","https://www.glassdoor.sg/Reviews/Employee-Review-ABB-RVW66039597.htm","Project engineer","Current employee, more than 5 years","Bengaluru","Importance to safety and compliance.

Positive work culture with great work life balance

Continuous improvement on the policies and employee friendly policies","Limited scope for growth, especially the salary part","Show more"
"5.0","18 Sept 2022","Good company","https://www.glassdoor.sg/Reviews/Employee-Review-ABB-RVW69178111.htm","Anonymous employee","Current employee, less than 1 year","Pune","","",""
"4.0","2 Oct 2022",".","https://www.glassdoor.sg/Reviews/Employee-Review-ABB-RVW69676254.htm","Research assistant","Current intern","Hyderābād","","",""
"5.0","8 Sept 2022","Good company for Experienced person","https://www.glassdoor.sg/Reviews/Employee-Review-ABB-RVW68838029.htm","Design engineer","Current contractor, more than 1 year","Bengaluru","Abb is biggest company in Automation field","they are Recruiting Cad engineers through Contract only","Show more"
"4.0","28 Jul 2022","Good company to settle","https://www.glassdoor.sg/Reviews/Employee-Review-ABB-RVW67294105.htm","Senior technical writer","Current employee, more than 1 year","Bengaluru","Work life balance 
Job security
Flexibility","No standard hike compare with other companies.
Salary is not the best in the current market.
Not good for freshers in terms of salary.
3 months notice period.","Show more"
"5.0","12 Sept 2022","Technology leader in process automation","https://www.glassdoor.sg/Reviews/Employee-Review-ABB-RVW68985296.htm","Project manager","Current employee, more than 10 years","Bengaluru","","",""
"4.0","19 Sept 2022","Good company","https://www.glassdoor.sg/Reviews/Employee-Review-ABB-RVW69221874.htm","Senior software engineer","Former employee","Bengaluru","","",""
"5.0","6 Aug 2022","GOOD WORKPLACE","https://www.glassdoor.sg/Reviews/Employee-Review-ABB-RVW67611744.htm","Telecom engineer","Current employee, more than 3 years","Bengaluru","ABB IS A REALLY AN AMAZING WORKPLACE.","didnt find much of cons as of right now","Show more"
"4.0","21 Aug 2022","Good learning","https://www.glassdoor.sg/Reviews/Employee-Review-ABB-RVW68166091.htm","Project engineer","Former employee, more than 3 years","Chennai","","",""
"2.0","4 Jun 2022","Was a good company in past to work for now can not say same","https://www.glassdoor.sg/Reviews/Employee-Review-ABB-RVW65092968.htm","Technical applications specialist","Current employee, more than 3 years","Vadodara","stable job,
Perceived as good company","Slow to no growth,
Salary is below market average,
total absenteeism of HR 
recently work culture has been deteriorating","Show more"
"4.0","26 Aug 2022","Best organisation to start your technical career","https://www.glassdoor.sg/Reviews/Employee-Review-ABB-RVW68404072.htm","Project engineer","Former employee, more than 8 years","Bangalore Rural","Will get exposure to all
Functions","Frequent change in organisation structure","Show more"
