"review-details_overallRating__VDxCx","timestamp_reviewDate__wvu2v","review-details_detailsLink__NxIv5","review-details_detailsLink__NxIv5 href","review-details_employee__5iA6v","review-details_employeeDetails__BvAwX","review-details_location__E_Ine","review-details_isExpanded__bLJng","review-details_isExpanded__bLJng 2","review-details_isCollapsed__Bsg_9","review-details_isCollapsed__Bsg_9 2","expand-button_ExpandButton__FlBlZ"
"4.0","22 Jan 2021","Good Organization","https://www.glassdoor.co.in/Reviews/Employee-Review-Hero-MotoCorp-RVW41249688.htm","Design and development engineer","Current employee","Jaipur, Rajasthan","Transparent working, facility, benefits & work timings","Lethargic managers, no improvement in technical knowledge","","",""
"5.0","6 Feb 2021","Nee","https://www.glassdoor.co.in/Reviews/Employee-Review-Hero-MotoCorp-RVW42049214.htm","Territory service manager","Current employee","","Stable, growth, salary, job security, management","Nothing, i, have, found, till, date, of, working","","",""
"5.0","12 Feb 2021","Team Manager","https://www.glassdoor.co.in/Reviews/Employee-Review-Hero-MotoCorp-RVW42405480.htm","Anonymous employee","Current employee, more than 5 years","Chittoor","Good infrastructure, Supporting Teams, Result oriented, systematic","No cons found in Hero MotoCORP","","",""
"5.0","20 Feb 2021","Casting development","https://www.glassdoor.co.in/Reviews/Employee-Review-Hero-MotoCorp-RVW42812154.htm","Vendor development engineer","Current employee, more than 3 years","Jaipur, Rajasthan","Work life balance, Good work culture","Learning is very less, Growth is less","","",""
"5.0","6 Mar 2021","Great experince","https://www.glassdoor.co.in/Reviews/Employee-Review-Hero-MotoCorp-RVW43564955.htm","Technical support engineer","Current employee, less than 1 year","Alwar","Good support and informative induction program","It has long joining process and forms","","",""
"4.0","10 Apr 2021","Responsible for engine calibration activities","https://www.glassdoor.co.in/Reviews/Employee-Review-Hero-MotoCorp-RVW45304627.htm","Senior engineer","Current employee, less than 1 year","Jaipur, Rajasthan","positive environment, work life balance","company is located outside of jaipur","","",""
"5.0","20 Apr 2021","good","https://www.glassdoor.co.in/Reviews/Employee-Review-Hero-MotoCorp-RVW45818221.htm","Senior manager, operations","Current employee","Jaipur, Rajasthan","Very good company to work with","Very large no of people with unjustified jobs","","",""
"5.0","28 Apr 2021","Culture","https://www.glassdoor.co.in/Reviews/Employee-Review-Hero-MotoCorp-RVW46222075.htm","Expert engineer","Current employee, more than 1 year","Jaipur, Rajasthan","","","Employee friendly with human touch","Need improvement in innovation culture","Show more"
"4.0","17 May 2021","Good company to work with","https://www.glassdoor.co.in/Reviews/Employee-Review-Hero-MotoCorp-RVW47053224.htm","Production manaher","Current employee, more than 8 years","East Godavari","Good company to work with","Not any specific o can say","","",""
"4.0","22 May 2021","induction review","https://www.glassdoor.co.in/Reviews/Employee-Review-Hero-MotoCorp-RVW47306711.htm","Engineer","Current employee, less than 1 year","Jaipur, Rajasthan","good culture, very usefull induction sessions,","No cons as such, good company to work","","",""
"4.0","22 May 2021","Nice","https://www.glassdoor.co.in/Reviews/Employee-Review-Hero-MotoCorp-RVW47307142.htm","Pmo - strategic sourcing","Current employee","","it is interactive so this is pros","it was not practical so this is cons","","",""
"5.0","29 May 2021","Work culture good","https://www.glassdoor.co.in/Reviews/Employee-Review-Hero-MotoCorp-RVW47626810.htm","Anonymous employee","Current employee","","Very good company takes care of employees","Its a very good company","","",""
"5.0","31 May 2021","Great work experience","https://www.glassdoor.co.in/Reviews/Employee-Review-Hero-MotoCorp-RVW47677610.htm","Software developer","Current employee","Bengaluru","Good work quality and user experience","Poor work quality and time scheduling","","",""
"5.0","5 Jun 2021","Fantastic company","https://www.glassdoor.co.in/Reviews/Employee-Review-Hero-MotoCorp-RVW47927820.htm","Associate manager","Current employee, more than 5 years","New Delhi","Fantastic automotive company to join in India","Nothing much to write down here","","",""
"3.0","8 Jun 2021","hero","https://www.glassdoor.co.in/Reviews/Employee-Review-Hero-MotoCorp-RVW48058830.htm","Territory sales manager","Former employee","","","","Good company, market leader in two wheelers","Pressure on employees to achieve numbers","Show more"
"4.0","13 Aug 2021","Good","https://www.glassdoor.co.in/Reviews/Employee-Review-Hero-MotoCorp-RVW51109752.htm","Engineer","Current employee","Gurgaon, Haryana","","","Better opportunity
Work life balance is there","Technology improvement is required
Employee satisfaction to be given priority","Show more"
"5.0","27 Aug 2021","Leading Auto company","https://www.glassdoor.co.in/Reviews/Employee-Review-Hero-MotoCorp-RVW51720156.htm","Zonal manager- institutional sales","Current employee","Pune","Global Two wheeler leader, good people practices.","Less focus on process orientation.","","",""
