"review-details_overallRating__VDxCx","timestamp_reviewDate__wvu2v","review-details_detailsLink__NxIv5","review-details_detailsLink__NxIv5 href","review-details_employee__5iA6v","review-details_employeeDetails__BvAwX","review-details_isCollapsed__Bsg_9","review-details_isCollapsed__Bsg_9 2","expand-button_ExpandButton__FlBlZ","review-details_location__E_Ine","review-details_isExpanded__bLJng","review-details_isExpanded__bLJng 2"
"4.0","1 Dec 2022","Personal","https://www.glassdoor.co.in/Reviews/Employee-Review-ICICI-Prudential-Life-Insurance-RVW71528287.htm","Associate","Current employee, more than 1 year","I'm glad to work with ICICI PRULIFE","No downside of working ICICI PRULIFE","Show more","Erode","",""
"1.0","21 Feb 2023","Hhh","https://www.glassdoor.co.in/Reviews/Employee-Review-ICICI-Prudential-Life-Insurance-RVW73839167.htm","Analyst","Former employee","","","","Pune","Good team Great work life balance","Very slow management Very boring projects"
"5.0","15 Dec 2022","Operations manager","https://www.glassdoor.co.in/Reviews/Employee-Review-ICICI-Prudential-Life-Insurance-RVW71880153.htm","Operations manager","Current employee, less than 1 year","","","","","Good organization to work with","Did not find any in Ipru"
"4.0","19 Dec 2022","Good","https://www.glassdoor.co.in/Reviews/Employee-Review-ICICI-Prudential-Life-Insurance-RVW71970041.htm","Senior associate","Former employee, more than 1 year","","","","Mumbai","Working environment, culture, helpful college","Work pressure and working on Sunday"
"5.0","7 Dec 2022","Good","https://www.glassdoor.co.in/Reviews/Employee-Review-ICICI-Prudential-Life-Insurance-RVW71706752.htm","Fsc ii","Current employee, more than 5 years","I loved a lot working with icicipru💞","Very good job and organisations","Show more","","",""
"5.0","16 Nov 2022","Best company for employees as well their customers","https://www.glassdoor.co.in/Reviews/Employee-Review-ICICI-Prudential-Life-Insurance-RVW71155355.htm","Unit manager","Current employee, less than 1 year","","","","Patna, Bihar","Best working culture and best customer service","There is nothing downside for employees or customers in this company"
"3.0","10 Oct 2022","Good not Great","https://www.glassdoor.co.in/Reviews/Employee-Review-ICICI-Prudential-Life-Insurance-RVW69968425.htm","Financial services consultant","Former employee, less than 1 year","Employee Benefits, Platinum Credit Card with No interest rate till the time you are employed in the company.","No reimbursement of claim money. Hard to get claims for your business travel and stay. Sunday may also be a working day without warning.","Show more","","",""
"3.0","30 Nov 2022","Not any","https://www.glassdoor.co.in/Reviews/Employee-Review-ICICI-Prudential-Life-Insurance-RVW71524391.htm","Sr. fsm sourcing","Current employee, less than 1 year","Good for carrier good nature all staff","Not any word for any downside","Show more","Pune","",""
"1.0","22 Feb 2023","Experience","https://www.glassdoor.co.in/Reviews/Employee-Review-ICICI-Prudential-Life-Insurance-RVW73858893.htm","Sales","Former employee, more than 5 years","","","","Kakinada","Good office facilities and brand image","Not good high level management"
"5.0","6 Dec 2022","Best","https://www.glassdoor.co.in/Reviews/Employee-Review-ICICI-Prudential-Life-Insurance-RVW71671217.htm","Agency manager","Current employee, less than 1 year","Knowledge of Market increase so best reason","My Agent no satisfied so I","Show more","","",""
"4.0","2 Sept 2022","Amazing Journey","https://www.glassdoor.co.in/Reviews/Employee-Review-ICICI-Prudential-Life-Insurance-RVW68664292.htm","Fsc","Current employee, less than 1 year","It's one of the best companies in terms of system and facilities. Great journey with I pru..","Lots of pressure, from Boss and the language is completely inappropriate that they use... They environment is not healthy enough to work.","Show more","Kandivalli","",""
"5.0","4 Nov 2022","Employee friendly","https://www.glassdoor.co.in/Reviews/Employee-Review-ICICI-Prudential-Life-Insurance-RVW70784772.htm","Senior finance manager","Current employee, more than 5 years","I got good opportunity to learn b2c business also got a opportunity learn new think selling insurance policy different clintes","Need to improve in appraisal rating performance bonus","Show more","Pune","",""
"5.0","6 Dec 2022","Key associate relationship manager","https://www.glassdoor.co.in/Reviews/Employee-Review-ICICI-Prudential-Life-Insurance-RVW71645366.htm","Financial sales consultant (fsc)","Current employee, less than 1 year","Good company and good carrier growth","No downside of the company","Show more","Navi Mumbai","",""
"5.0","7 Dec 2022","Excellent company","https://www.glassdoor.co.in/Reviews/Employee-Review-ICICI-Prudential-Life-Insurance-RVW71683509.htm","Sr. fsm sourcing","Current employee, more than 1 year","","","","Vadodara","This is the best company in insurance industry.","No focus in emerging channel"
"5.0","7 Dec 2022","Na","https://www.glassdoor.co.in/Reviews/Employee-Review-ICICI-Prudential-Life-Insurance-RVW71688714.htm","Senior fsm -non sourcing","Current employee, less than 1 year","Good team members tu support","Sm and team members bonding","Show more","Ahmedabad","",""
"4.0","14 Dec 2022","Good","https://www.glassdoor.co.in/Reviews/Employee-Review-ICICI-Prudential-Life-Insurance-RVW71848843.htm","Sr vice president operations","Current employee, more than 10 years","Employee friendly and good benefits","Work life balance is average","Show more","New Delhi","",""
"3.0","8 Nov 2022","It depends on the management","https://www.glassdoor.co.in/Reviews/Employee-Review-ICICI-Prudential-Life-Insurance-RVW70878636.htm","Sales manager","Current employee, more than 1 year","they provide a lot of support required by employee.","the pros totally depends on the management you are dealing with.","Show more","New Delhi","",""
"5.0","2 Dec 2022","Good company to learn","https://www.glassdoor.co.in/Reviews/Employee-Review-ICICI-Prudential-Life-Insurance-RVW71569462.htm","Sales trainee","Current employee, more than 1 year","","","","Kalyan","Good company to learn Great experience Great support","Nothing to say in cons"
"5.0","6 Dec 2022","Sales Manager","https://www.glassdoor.co.in/Reviews/Employee-Review-ICICI-Prudential-Life-Insurance-RVW71656605.htm","Sales manager","Current employee, more than 1 year","","","","Ahmedabad","Great Place to work and very supportive","Managing work life balance is difficult"
"4.0","2 Nov 2022","The great ipru","https://www.glassdoor.co.in/Reviews/Employee-Review-ICICI-Prudential-Life-Insurance-RVW70735031.htm","Financial services consultant","Current employee, less than 1 year","One of the best organization to build career with.","Senior management should be more supportive","Show more","Kolhāpur, Maharashtra","",""
"3.0","15 Dec 2022","Average","https://www.glassdoor.co.in/Reviews/Employee-Review-ICICI-Prudential-Life-Insurance-RVW71880689.htm","Personal financial consultant (service)","Former employee, less than 1 year","Good management with great support","Nill. But beware of sales area","Show more","Vadapalani","",""
"5.0","18 Aug 2022","Best ever - Pension & Annuity ( NPS)","https://www.glassdoor.co.in/Reviews/Employee-Review-ICICI-Prudential-Life-Insurance-RVW68050755.htm","Associate regional manager","Current employee, more than 5 years","1. Really really good and understanding managers and supportive environment 
2. Growing business and company 
3. Full freedom and accountability 
4. No micromanagement or unnecessary bothering.
5. Good growth opportunity and pay","NPS as a product gets boring sometimes but you can always change verticals. No cons for the company or management.","Show more","","",""
"5.0","8 Nov 2022","My overall experience was great","https://www.glassdoor.co.in/Reviews/Employee-Review-ICICI-Prudential-Life-Insurance-RVW70883471.htm","Financial services consultant","Current employee, more than 1 year","Very good organization, Supportive staff","After joining the organization,I was not able to give time for my personal life.","Show more","","",""
"5.0","1 Dec 2022","Agency","https://www.glassdoor.co.in/Reviews/Employee-Review-ICICI-Prudential-Life-Insurance-RVW71540801.htm","Assistant  manager","Current employee, more than 1 year","","","","","positive atmosphere & helpful subordinates","I dont find any downside of management or company working style"
"5.0","5 Dec 2022","Fsc","https://www.glassdoor.co.in/Reviews/Employee-Review-ICICI-Prudential-Life-Insurance-RVW71618808.htm","Anonymous employee","Current employee, less than 1 year","Good company to work with","Nothing i dislike about company","Show more","Būndi","",""
"5.0","5 Dec 2022","Na","https://www.glassdoor.co.in/Reviews/Employee-Review-ICICI-Prudential-Life-Insurance-RVW71639885.htm","Financial service mgr","Current employee, less than 1 year","Best environments to work in","Feild work is ther which makes it diffcult","Show more","Bangalore Rural","",""
"3.0","6 Dec 2022","Good salary","https://www.glassdoor.co.in/Reviews/Employee-Review-ICICI-Prudential-Life-Insurance-RVW71656872.htm","Business trainee","Current employee, more than 1 year","","","","Pune","Very friendly Manager who supports you in every situation.","working hours are not fixed."
"5.0","20 Oct 2022","it is good experience for me","https://www.glassdoor.co.in/Reviews/Employee-Review-ICICI-Prudential-Life-Insurance-RVW70361365.htm","Unit manager","Current employee","Dear Team nothing to compliant About company or Company employs its well and good company","nothing to say about this","Show more","Hubli","",""
"5.0","10 Nov 2022","Ok","https://www.glassdoor.co.in/Reviews/Employee-Review-ICICI-Prudential-Life-Insurance-RVW70982150.htm","Anonymous employee","Current employee","Gives value to there employee","Upgrade the level and also increment in salary","Show more","Greater Noida","",""
"4.0","1 Nov 2022","All over good but dissatisfied with manager","https://www.glassdoor.co.in/Reviews/Employee-Review-ICICI-Prudential-Life-Insurance-RVW70670591.htm","Financial advisor","Current employee, less than 1 year","Good system and fast issuance","Dissatisfied with manager behaviour not respect girls.","Show more","Vadodara","",""
"4.0","2 Dec 2022","Work culture in good","https://www.glassdoor.co.in/Reviews/Employee-Review-ICICI-Prudential-Life-Insurance-RVW71560578.htm","Fsm","Current employee, less than 1 year","","","","","Good Manager Support Good channel support","No work-life balance Monotonous job profile"
"2.0","2 Dec 2022","Sales insurance","https://www.glassdoor.co.in/Reviews/Employee-Review-ICICI-Prudential-Life-Insurance-RVW71580695.htm","Deputy manager sales","Current employee, less than 1 year","Good communication and handle the operation team for employee","Some critical our management and culture","Show more","Dewās, Madhya Pradesh","",""
"5.0","1 Dec 2022","Thanks","https://www.glassdoor.co.in/Reviews/Employee-Review-ICICI-Prudential-Life-Insurance-RVW71530956.htm","Sfsm","Current employee, less than 1 year","Carrier growth and development of skills","Not worked properly and not achieve goals","Show more","","",""
"5.0","1 Dec 2022","Very good","https://www.glassdoor.co.in/Reviews/Employee-Review-ICICI-Prudential-Life-Insurance-RVW71536589.htm","Senior fsm","Current employee, less than 1 year","Very good organization overall is","No cons in the organization is","Show more","Roorkee","",""
"5.0","23 Nov 2022","Icici Prudential","https://www.glassdoor.co.in/Reviews/Employee-Review-ICICI-Prudential-Life-Insurance-RVW71326638.htm","Business trainee","Current employee, more than 1 year","","","","","Good place to learn Good earning opportunities","Sales pressure (which is common in any type of sales)"
"4.0","4 Dec 2022","My observation","https://www.glassdoor.co.in/Reviews/Employee-Review-ICICI-Prudential-Life-Insurance-RVW71614886.htm","Associate regional manager","Current employee, more than 10 years","","","","","Company management/ policies are best.","Work life balance is not maintained"
"5.0","4 Sept 2022","Learning & Development","https://www.glassdoor.co.in/Reviews/Employee-Review-ICICI-Prudential-Life-Insurance-RVW68690988.htm","Regional manager","Current employee, more than 10 years","Best place to build ur career , Knowledge, Exposure to handle various channels
Technology is Amazing","Training channel Vertical is Required 
Module for New FL Induction/Training needs to be improved","Show more","Chennai","",""
