"review-details_overallRating__VDxCx","timestamp_reviewDate__wvu2v","review-details_detailsLink__NxIv5","review-details_detailsLink__NxIv5 href","review-details_employee__5iA6v","review-details_employeeDetails__BvAwX","review-details_location__E_Ine","review-details_isCollapsed__Bsg_9","review-details_isCollapsed__Bsg_9 2","expand-button_ExpandButton__FlBlZ","review-details_isExpanded__bLJng","review-details_isExpanded__bLJng 2"
"5.0","23 Mar 2021","Assistant manager","https://www.glassdoor.co.in/Reviews/Employee-Review-Grasim-Industries-RVW44415577.htm","Assistant manager","Former employee, more than 10 years","Bengaluru","Company infrastructure and staying facilities","Production management and quality management","Show more","",""
"4.0","30 Jun 2021","Good Company but HR department is not professional","https://www.glassdoor.co.in/Reviews/Employee-Review-Grasim-Industries-RVW49113556.htm","Assistant manager - finance & accounts","Current employee, more than 3 years","Mumbai","","","","Very Good Company for Freshers","Low Compensation and Unprofessional HR department"
"4.0","22 Nov 2014","Good place to work","https://www.glassdoor.co.in/Reviews/Employee-Review-Grasim-Industries-RVW5425425.htm","Anonymous intern","Former intern","","","","","Exposure to industry practice and networking with industry experts","hard training and challenging environment"
"4.0","3 Nov 2015","Marketing Jobs as Regional Manager","https://www.glassdoor.co.in/Reviews/Employee-Review-Grasim-Industries-RVW8522252.htm","Anonymous employee","Current employee","","Over all good company, with excellent performance.","Benefits are not much good","Show more","",""
"3.0","9 Feb 2017","CSR and sustainability mumbai office","https://www.glassdoor.co.in/Reviews/Employee-Review-Grasim-Industries-RVW13715704.htm","Anonymous employee","Former employee, less than 1 year","","","","","Good working enviornment and people friendly","Sluggish growth too many in line for hierarchy"
"2.0","1 Aug 2018","Join only if you are a pro at office politics!","https://www.glassdoor.co.in/Reviews/Employee-Review-Grasim-Industries-RVW21759202.htm","Deputy marketing manager","Current employee, more than 5 years","Mumbai","","","","The company is cash rich","Hierarchical and old school, bureaucratic"
"5.0","6 Aug 2018","Very good company","https://www.glassdoor.co.in/Reviews/Employee-Review-Grasim-Industries-RVW21834244.htm","Assistant manager","Former employee, more than 3 years","Bharūch","","","","Learning school, food, canteen, facilities, transportation","Nice, bad, good, healthy commissioning, company, great, wcm"
"4.0","19 Dec 2019","Good company to work","https://www.glassdoor.co.in/Reviews/Employee-Review-Grasim-Industries-RVW30944035.htm","Anonymous employee","Current employee, more than 3 years","Ujjain","Employer brand in india as ABG","Remote location  to work  at","Show more","",""
"5.0","15 Apr 2020","Operations Manager Review","https://www.glassdoor.co.in/Reviews/Employee-Review-Grasim-Industries-RVW32744948.htm","Operations manager","Current employee","Calcutta","","","","Job Stability is good........Corporate MNC culture.","No career growth...........will get frustrated after 2-3 years."
"3.0","1 Oct 2020","meh","https://www.glassdoor.co.in/Reviews/Employee-Review-Grasim-Industries-RVW36608372.htm","Intern","Former intern","","Less work
low supervision
Relaxed
Chill
Enough time to do your own stuff too","Slow moving bureaucratic environment lot of free time","Show more","",""
"3.0","4 Jun 2021","It was great!","https://www.glassdoor.co.in/Reviews/Employee-Review-Grasim-Industries-RVW47894125.htm","Summer intern","Former employee, less than 1 year","Nagda","","","","Beautiful place and helpful people","Industrial town is cutt off from the rest of the world"
"5.0","14 Dec 2021","Excellent","https://www.glassdoor.co.in/Reviews/Employee-Review-Grasim-Industries-RVW56693705.htm","Anonymous intern","Former intern","","","","","Nice environment and friendly work culture","Not found any As I worked for only 1 year"
"3.0","18 Jun 2012","average","https://www.glassdoor.co.in/Reviews/Employee-Review-Grasim-Industries-RVW1618596.htm","Logistics","Former employee, more than 1 year","New Delhi","friendly ambience, less work pressure,","lack of interest towards freshers","Show more","",""
"3.0","29 Oct 2015","Sr. Manager QA","https://www.glassdoor.co.in/Reviews/Employee-Review-Grasim-Industries-RVW8470922.htm","Senior manager","Current employee, more than 1 year","Nagda","","","","Good team Work & helpfull to down the line people.","Sharing Knowledge to each other"
