"review-details_overallRating__VDxCx","timestamp_reviewDate__wvu2v","review-details_detailsLink__NxIv5","review-details_detailsLink__NxIv5 href","review-details_employee__5iA6v","review-details_employeeDetails__BvAwX","review-details_location__E_Ine","review-details_isExpanded__bLJng","review-details_isExpanded__bLJng 2"
"5.0","6 Aug 2022","Analytical Scientist in ADL","https://www.glassdoor.co.in/Reviews/Employee-Review-Torrent-Pharmaceuticals-RVW67611698.htm","Analytical chemist","Current employee","","",""
"3.0","28 Sept 2022","Good for starters","https://www.glassdoor.co.in/Reviews/Employee-Review-Torrent-Pharmaceuticals-RVW69550363.htm","Scientist","Current employee, more than 5 years","Gāndhīnagar, Gujarat","Good for beginners, work life balance","No benefits for employees, policies manipulated as per will"
"5.0","15 Sept 2022","Excellent Growth","https://www.glassdoor.co.in/Reviews/Employee-Review-Torrent-Pharmaceuticals-RVW69080292.htm","Quality control specialist","Former employee","","Good System, FDA Approved, Good employee beneficial policies.","Rate of increment should be increase according to present working hours."
"5.0","17 Sept 2022","Very Good work culture","https://www.glassdoor.co.in/Reviews/Employee-Review-Torrent-Pharmaceuticals-RVW69153310.htm","Scientist ii","Former employee, more than 8 years","","Good work culture and learning development","working in shift and less scope of promotion"
"3.0","17 Sept 2022","Culture","https://www.glassdoor.co.in/Reviews/Employee-Review-Torrent-Pharmaceuticals-RVW69160071.htm","Management trainee","Current employee","","Knowledge, People, Location, Acknowledgement, Ethics","Work culture, Policies, Bond, time-bound, No flexibility"
"2.0","28 Jul 2022","NA","https://www.glassdoor.co.in/Reviews/Employee-Review-Torrent-Pharmaceuticals-RVW67272222.htm","Senior executive scientist","Current employee, less than 1 year","","",""
"4.0","30 Aug 2022","NIce place to work","https://www.glassdoor.co.in/Reviews/Employee-Review-Torrent-Pharmaceuticals-RVW68496635.htm","Scientist i","Current employee, more than 1 year","","",""
"4.0","31 Jul 2022","Relax working","https://www.glassdoor.co.in/Reviews/Employee-Review-Torrent-Pharmaceuticals-RVW67371496.htm","Assistant manager","Former employee, more than 1 year","Dahej","",""
"5.0","23 Aug 2022","RnD","https://www.glassdoor.co.in/Reviews/Employee-Review-Torrent-Pharmaceuticals-RVW68240936.htm","Assistant general manager","Current employee, less than 1 year","","",""
"4.0","26 Aug 2022","MES Project","https://www.glassdoor.co.in/Reviews/Employee-Review-Torrent-Pharmaceuticals-RVW68381498.htm","Operation project manager","Current employee, more than 5 years","Dahej","Lot's of learning during project activity.","Employee facility welfare is poor."
