"review-details_overallRating__VDxCx","timestamp_reviewDate__wvu2v","review-details_detailsLink__NxIv5","review-details_detailsLink__NxIv5 href","review-details_employee__5iA6v","review-details_employeeDetails__BvAwX","review-details_isCollapsed__Bsg_9","review-details_isCollapsed__Bsg_9 2","expand-button_ExpandButton__FlBlZ"
"5.0","10 Jun 2012","The Koolest Place to work as per my knowledge goes...","https://www.glassdoor.sg/Reviews/Employee-Review-Bharti-Airtel-RVW1581489.htm","Territory manager","Current employee, more than 1 year","Airtel is very employee friendly and the workplace is always full of energy and fun and so working in Airtel is always full of fun and excitement... One always get rewards and awards and recognization for the good works ge/she does in Airtel ...","nothing to say .... i m sorry ...","Show more"
"4.0","22 Jun 2012","The Company provides a great environment for learning and devlopment so as to improve your individual potential","https://www.glassdoor.sg/Reviews/Employee-Review-Bharti-Airtel-RVW1634526.htm","Manager","Former employee, more than 3 years","a well defined organization structure flexible enough to allow you to experiment with new ideas and learn from your experiences. Very good human management culture and senior, subordinate relationship.","very little  thought to work life balance.","Show more"
"2.0","18 Jan 2014","Not good,no work life balance and poor management","https://www.glassdoor.sg/Reviews/Employee-Review-Bharti-Airtel-RVW3554779.htm","Process associate","Former employee, less than 1 year","Brand name 
working hours are good specially for female as they are not asked to stay late.","Poor management, salary of 1 and work of 10, Bad working environment in some departments like SCM.No work life balance,a company full of politics and senior management can demoralize you.
Will never recommend this organization to anyone.","Show more"
"3.0","26 Oct 2014","ok experience of Internship at airtel india- bangalore","https://www.glassdoor.sg/Reviews/Employee-Review-Bharti-Airtel-RVW5248262.htm","Summer intern","Former intern, less than 1 year","Being the leader in the karnataka region i had ample scope of learning of their fruitful market strategies. My mentor (a south bangalore ZSM) was really helpful.","work hours undefined. 
difficult to maintain work life balance in that way.
to be easily seen for your hard work is not that easy in this organisation.","Show more"
"5.0","2 Dec 2017","I can not think of much, beyond bonus structure","https://www.glassdoor.sg/Reviews/Employee-Review-Bharti-Airtel-RVW18165589.htm","Cro","Current employee, more than 1 year","i am interested in telecom","living in the country is, of course, the long commute to work","Show more"
"3.0","1 Nov 2018","Average","https://www.glassdoor.sg/Reviews/Employee-Review-Bharti-Airtel-RVW23222919.htm","Executive","Current employee, more than 1 year","Good incentives like phone allowance, dth and broadband.
Transportation facility","No work life balance.
Poor increments.
Internal job movement is fully messed up, only if you have referral then talent really does not matters.
Politics.
Anti poaching policies.
Work Pressure.","Show more"
"4.0","11 Jan 2022","One of the best places to work for !!","https://www.glassdoor.sg/Reviews/Employee-Review-Bharti-Airtel-RVW57749728.htm","Data sienctist","Former employee, more than 3 years","I learnt a lot during my work here. Airtel gave me access to working with problems at humongous scale of Petabytes per month. And through my journey I also realized the huge impact we can bring in at such scale.","I was one of the initial members of founding Data Science team, which meant the process were not completely setup and that brought it few challenges.","Show more"
"5.0","14 Jun 2015","currently working with bharti group as a store manager","https://www.glassdoor.sg/Reviews/Employee-Review-Bharti-Airtel-RVW6900865.htm","Store manager","Current employee, less than 1 year","First of all this is the no 1 telecom brand leading till date second thing is we can do our job very piece fully and management is very concern about customer service.","when second time airtel launched 3G that moment of time network problem was huge and customers are really suffered.","Show more"
"3.0","2 Jan 2018","Great company to work in. Nice company culture.","https://www.glassdoor.sg/Reviews/Employee-Review-Bharti-Airtel-RVW18540408.htm","Territory sales manager","Former employee, less than 1 year","Nice company culture and lots of growth opportunities in different departments.
Regular job training and skill development program
Effective top level management.","A very much hectic job for the sales profile people. 
Very competitive industry so the change are made very often.","Show more"
"3.0","3 Jul 2019","Operations Functional Head","https://www.glassdoor.sg/Reviews/Employee-Review-Bharti-Airtel-RVW27775553.htm","Supply chain management head","Former employee, more than 10 years","New Tech company, passion for being the first in operations and executions, agile,","New strategies not working out, career plans not visible, employee turnover high and no employees continuing beyond two years.  support functions dissolving","Show more"
"4.0","24 Jul 2019","Provides good learning experiences.","https://www.glassdoor.sg/Reviews/Employee-Review-Bharti-Airtel-RVW28215437.htm","Human resources business partner","Former employee, more than 3 years","Fast paced workplace.  Dynamic leaders. Good pay master. Upbeat environment.","Meritocracy needs to be practiced strongly.  Some pockets exist, wherein certain business leaders are given way too much power and they end up micromanaging everyone.  Worklife balance goes for a toss very often.","Show more"
"3.0","18 Dec 2020","Airtel Payments Bank Review","https://www.glassdoor.sg/Reviews/Employee-Review-Bharti-Airtel-RVW39589770.htm","Software development engineer ii","Former employee, more than 1 year","Good salary
Openwork culture
Flat hierarchy
Good amount of leaves
Latest tech stack
Intelligent co-workers","Non-existent senior management
Non-existent technical management
Nobody knows what they are doing and why they are doing it - there is no vision.","Show more"
"3.0","5 Mar 2012","Friendly but opportunities are getting downsized","https://www.glassdoor.sg/Reviews/Employee-Review-Bharti-Airtel-RVW1374379.htm","Executive, it budget & backoofice","Current employee","The main reasons for working here is the brand name,
the environment is good here, its located in a good place.","The main cons are , the increament syatem is two low, promotions are not up to the mark, and as airtel beleive in outsourcing model, opportunities of working here is getting downsized,","Show more"
"2.0","13 Sept 2012","8 Years in customer life cycle management at national level","https://www.glassdoor.sg/Reviews/Employee-Review-Bharti-Airtel-RVW1949460.htm","Dgm, customer services","Current employee, more than 8 years","the organization is strong in financials, have opportunities to seek varied exposures in different subjects.Has sufficient infrastructure to perform the delivery of services.","No focus on investment for customers. Lack of quality leaders at strategy level. Poor at employee engagement, no freedom to take independent decision. Insecurity amongst employees for loosing the jobs as various rounds of job cuts have happened in last 2 years.","Show more"
"4.0","11 Apr 2016","Good company to start the carrer.","https://www.glassdoor.sg/Reviews/Employee-Review-Bharti-Airtel-RVW10236925.htm","Spoc manager","Current employee, more than 3 years","Good brand name to start working with.

Learned documentation procedure of telecom department (with respect to TRAI) and the complexities in handling them.","Work culture needs to improved & work life balance is poor. 

Management should be more involved in understanding the requirement of the person working in ground level.","Show more"
"2.0","22 Sept 2016","Average Place","https://www.glassdoor.sg/Reviews/Employee-Review-Bharti-Airtel-RVW12029862.htm","Sales manager","Former employee","Sunil Mittal
Leader in telecom
Good people from FMCG in sales.","Bad culture,  full of politics
Have to boot lick seniors to get promotions. average 3-4% hikes per year
No work life balance. Work ur back off but get paid like peanuts. cost cutting in smallest of things.
incompetent HR these days ( some of them cant even speak english properly). no connect with employees.only gyaan no solution","Show more"
"3.0","12 Apr 2019","Too much pressure; not very thankful","https://www.glassdoor.sg/Reviews/Employee-Review-Bharti-Airtel-RVW25642126.htm","Manager","Former employee, more than 1 year","Work From Home
Mature Executive Committee members
Young employees keeping the office vibrant","Too much pressure; all employees are taxed to 200% and there is absolutely no work life balance. You are expected to revert to mails even at 2 or 3 PM and on Satdays and Sundays. Expected to be always available; with all data ready too. No support from manager, you can be asked to leave suddenly anytime","Show more"
"4.0","8 Jun 2021","A Harvard in mobile money","https://www.glassdoor.sg/Reviews/Employee-Review-Bharti-Airtel-RVW48091942.htm","Product manager","Current employee, more than 5 years","Want to jump into mobile money industry and make a difference? Airtel Money will give you the journey you need to embark into the Industry and learn alot.","A very small team with huge responsibilities. The stingy Indian culture of centralization & budget cut doesn't give the team the power needed to disrupt the industry.","Show more"
"2.0","9 Jun 2021","Bad Work Culture","https://www.glassdoor.sg/Reviews/Employee-Review-Bharti-Airtel-RVW48114757.htm","Territory sales manager","Former employee, more than 1 year","Very Bad Culture. HR is Nothing.Start day at 6Am to 11Pm .No Leave.No Work life balance","Only Salary is on time but Culture is Bad.","Show more"
"2.0","25 Dec 2011","Poor middle management, no processes, has top talent and no work - life balance","https://www.glassdoor.sg/Reviews/Employee-Review-Bharti-Airtel-RVW1253032.htm","Assistant manager","Current employee","Oppertunities in profile
Learning on the job
Continuous Improvement
Recognition 
Average raise and compensation
Brand","Pathetic Work Life Balance (12-14 hrs daily)
No processes
Pathetic knowledge management
Poor IT infra and support (Thanks to IBM)..
Incompetent people at senior positions
Politics
Low morale in lower levels
No quality work because of haste
Starts early but launches really late
Cons more then Pro's","Show more"
"4.0","25 Dec 2012","i m totali satisfied wih my job in bharti airtel","https://www.glassdoor.sg/Reviews/Employee-Review-Bharti-Airtel-RVW2230576.htm","Back office executive","Current employee, less than 1 year","bcoz it was a big Corporate companie.. i m satisfied with my job..and my manegment..","bharti Airtel a big companie in the word,  Sunil Bharti Mittal is the founder, chairman and group CEO of Bharti Enterprises, one of India's leading business groups with interests in telecom, financial..and etc","Show more"
"4.0","26 Dec 2012","Airtel a brand to work with...","https://www.glassdoor.sg/Reviews/Employee-Review-Bharti-Airtel-RVW2230771.htm","Manager-sales","Current employee, more than 1 year","The company has got a very rich culture and gives good career growth opportunities. Working at Airtel itself it motivating as the company provides an environment of continuous development.","The company has got a huge gamuth of services and solutions to cater to almost all the requirements in the communications domain.","Show more"
"5.0","31 May 2015","fast pace and high growth company","https://www.glassdoor.sg/Reviews/Employee-Review-Bharti-Airtel-RVW6755422.htm","Anonymous employee","Current employee, more than 1 year","Very flat organization and access to senior management is very easy; very aggressive to close deals ""finds ways to do deals""","all support functions based in India; time zone differences needs to be planned when requiring support","Show more"
"4.0","26 Oct 2021","Amazing and Fast Place","https://www.glassdoor.sg/Reviews/Employee-Review-Bharti-Airtel-RVW54542985.htm","Zonal marketing executive","Former employee, less than 1 year","Airtel is great to work in especially in the Trade Marketing team which I worked in. 

They operate an open door policy with amazing colleagues who see you more as a family member over Time.","It is stressful as you can be juggling more than your current responsibility at a time. 

Appraisals are one thing that has to do with appealing with emotions and your performance at work.","Show more"
"2.0","22 Nov 2021","No work life balance","https://www.glassdoor.sg/Reviews/Employee-Review-Bharti-Airtel-RVW55697212.htm","Project management","Current employee, more than 3 years","There is no work life balance. You don't get what you deserved. Promotions are very delay. Full of politics.","Management ask to work even when your on leave. Environment is not so good. No backup when your on leave. You have to rework once after coming from leave","Show more"
"5.0","31 Dec 2021","Wonderful environment with full of Learning","https://www.glassdoor.sg/Reviews/Employee-Review-Bharti-Airtel-RVW57273736.htm","Circle head","Current employee, less than 1 year","Bharti Airtel is an immensely ethical organisation, always follows the highest standards of workplace ethics. 
Has good and friendly HR policies, Around 70% employees stick to the organisation for more than 6-7 years. 
Growth path for performers is robust.","A bit of Work Pressure — Now a Days it is a common phenomena across industry.","Show more"
"5.0","4 Jan 2022","ok","https://www.glassdoor.sg/Reviews/Employee-Review-Bharti-Airtel-RVW57428330.htm","Tsm sales","Current employee, more than 10 years","For good platform learn lot of think here which i took my previous time , It's my second innings","For drive business very less manpower","Show more"
"5.0","29 Apr 2012","Till Now I Have Great Experience in Bharti Airtel Group","https://www.glassdoor.sg/Reviews/Employee-Review-Bharti-Airtel-RVW1475541.htm","Zonal corporate trainer","Current employee","Because Its a One of the Best Multinational Company in Telecom Industry.","Sometime Due to High Call rate I Faced Challenge in comparison to other company in India.","Show more"
"3.0","3 Jul 2014","High paced action at all times","https://www.glassdoor.sg/Reviews/Employee-Review-Bharti-Airtel-RVW4514055.htm","Dgm","Current employee, more than 10 years","Large sphere of opportunities, plenty of locations and mobility is an option - across India and the other 19 countries. Pays well on entry and once in the normal increment cycle kicks in.","High amount of politics and a large amount of unnecessary reporting and activities that go on just to prove the worth of a position with no benefit to actual operations or customer experience.","Show more"
"5.0","20 Aug 2014","Extremely dynamic and people oriented","https://www.glassdoor.sg/Reviews/Employee-Review-Bharti-Airtel-RVW4818492.htm","Senior manager","Current employee, more than 8 years","Besides industry's best facility this comapny gives you the opportunity to do what you are best at. You have a friend and mentor at the same time to help you progress in your carreer","Since we are pioneer in many LOB, keeping pace with sustaining NO 1 position takes a lot more hardwork, strategy than other players in the market","Show more"
"5.0","19 Sept 2015","Senior Executive","https://www.glassdoor.sg/Reviews/Employee-Review-Bharti-Airtel-RVW8009574.htm","Senior executive","Former employee, more than 3 years","Great place to learn and grow in a telecommunication industry. Promotes young talent and nourish them to become future leaders","Work-life balance was not maintained which causes frustration among employees, but it is also a learning for every individual on how to manage stress and overcome challenges","Show more"
"5.0","22 Mar 2016","Work Culture","https://www.glassdoor.sg/Reviews/Employee-Review-Bharti-Airtel-RVW10011006.htm","Anonymous employee","Current employee","Barati airtel is world 3rd best telecommunication company . Every 25 people one peson is served by Airtel. Becouse it is a reputed compay and the working environment is very good and friendly so i am very happy to work in this company.","Work pressure and target  fill up are challenging. Show your best efforts and do hard word if you want your success in this organization.","Show more"
"5.0","27 Apr 2016","That is my dream","https://www.glassdoor.sg/Reviews/Employee-Review-Bharti-Airtel-RVW10411454.htm","Telecom technical","Former employee, more than 10 years","MNC Company.  so my  future settled.  airtel best broadband company  in world  so easily handle our customers  so we get lot of customers in our airtel company  .This is my dream for working in bharati airtel","All are brilliant so challenging because all are working very brilliant so all the labours are have very good healthy competition","Show more"
"3.0","27 Dec 2017","A learning experience","https://www.glassdoor.sg/Reviews/Employee-Review-Bharti-Airtel-RVW18486785.htm","Zonal sales manager","Current employee, more than 1 year","A big brand, good work environment (except in sales). Amazing culture, good benefits and good colleagues","Sales is unreasonable, redundant, boring, least innovative thoughts required, Saturdays working with no use of yours. Lot of show off work","Show more"
"5.0","20 Jun 2018","wonderful to work in product engineering verticle","https://www.glassdoor.sg/Reviews/Employee-Review-Bharti-Airtel-RVW21122259.htm","Anonymous employee","Current employee, more than 5 years","1. Solving some really cool problems in real world. Huge business impact visible and acknowledged

2. Really wonderful team to work with

3. Latest technologies and tools are used

4. Lot of freedom and flexibility to work on choice of technology

5.  Flat hierarchy with approachable senior management","1.  Lot of government regulations which hampers work.","Show more"
"4.0","17 Feb 2019","An excellent place to work with...","https://www.glassdoor.sg/Reviews/Employee-Review-Bharti-Airtel-RVW24739131.htm","Zonal sales manager","Former employee, more than 5 years","Excellent HR and very good rewards and recognition program for every individual based on performances.....","Little bit extra pressure for maintaining the key performance indexes and large nos of conference calls.","Show more"
"2.0","4 Dec 2020","Airtel CRO Salary and incentives","https://www.glassdoor.sg/Reviews/Employee-Review-Bharti-Airtel-RVW39061926.htm","Customer relationship officer","Current employee, less than 1 year","Timing is good... supportive staff","Beware! They only give you (rs.5000)incentive when you complete or sale 8 one Airtel plan otherwise zero...which hardly possible....even the seniors can't complete this target ...","Show more"
"3.0","31 Jul 2016","Company culture and diversity is great. Good place to learn and establish yourself. Leaders are welcoming.","https://www.glassdoor.sg/Reviews/Employee-Review-Bharti-Airtel-RVW11408701.htm","Retail manager","Current contractor, more than 5 years","Good place to develop your talent. Customers oriented Company. Good infrastructural facilities.","Core business part been outsourced (customer service), the owners place more emphasis on sales. Expectation on sales target is very high. Also no specific career path for low level staff ( Agents)","Show more"
"5.0","17 Jun 2014","Good company for explore.","https://www.glassdoor.sg/Reviews/Employee-Review-Bharti-Airtel-RVW4421196.htm","Executive","Current employee, more than 3 years","Private companies like Airtel has a great customer care service. They resolve any complains or issues in a timely manner. My personal experience with Airtel is quite pleasant.","Not well in senior management & HR is showing that, he's a owner of this company.","Show more"
"2.0","17 Aug 2014","What is there in a name when the company doesn't treat it employees well","https://www.glassdoor.sg/Reviews/Employee-Review-Bharti-Airtel-RVW4793128.htm","Anonymous employee","Former employee, more than 3 years","A good place for learning","Management thinks engineers as an all rounder who can work on all the things 24/7 with out rest. Lot of politics and the worst part is that they keep on changing employee policies which are affecting work culture of the employees","Show more"
"3.0","5 May 2015","Excellent place to work","https://www.glassdoor.sg/Reviews/Employee-Review-Bharti-Airtel-RVW6517061.htm","Senior manager - service delivery","Former employee, more than 10 years","Openness of people, willing to help people till the time you are not going to create any threat for them.","Politics, people tend to back bit and back stab a lot. Lots of people are leaving because there is a fear in the Airtel air that they would be thrown out of the system.","Show more"
"3.0","27 Oct 2017","Bharti Airtel as an Employer","https://www.glassdoor.sg/Reviews/Employee-Review-Bharti-Airtel-RVW17600151.htm","Dgm","Former employee, more than 5 years","- The best company within telecom sector
- Lots of locations (good for people with preference within cities in India)","- Weak corporate governance
- Poor employee centricity
- Poor job opportunities in other industries post working in telecom
- Work life balance","Show more"
"3.0","8 Feb 2018","Quality control","https://www.glassdoor.sg/Reviews/Employee-Review-Bharti-Airtel-RVW19149941.htm","Quality control","Former employee, less than 1 year","Learned all about working in customer service in one of Zambia's biggest telecommunications service. 
Was able to make acquaintances from the company.","Conditions of service were not very good.
Job security was also an issue of concern as employs are kept on casual basis instead of getting contracts.
Delayed payment of wages.","Show more"
"2.0","15 Mar 2019","There is  No satirist faction","https://www.glassdoor.sg/Reviews/Employee-Review-Bharti-Airtel-RVW25192230.htm","Anonymous employee","Current employee","i dint find growth in company","My Quote is Growth for job creation job for life creation","Show more"
"4.0","20 Oct 2019","Network","https://www.glassdoor.sg/Reviews/Employee-Review-Bharti-Airtel-RVW29922054.htm","Senior network engineer","Current employee","* Lot of opportunity to learn and grow in Airtel.
* Company is very friendly in  terms for leaves and working hour.
* Meals are at half price. I guess Rs 35-40 per person.
* Free AC buses from IFFECO Metro, Delhi and from various spots on NH8(Delhi-Jaipur highway)","* Training's specially technical  are given  to Sr Managers who really never login to system.","Show more"
"1.0","11 Dec 2019","Worst company to work or to start your career.","https://www.glassdoor.sg/Reviews/Employee-Review-Bharti-Airtel-RVW30817061.htm","Tsm","Current employee, less than 1 year","Salary on fix date 25th of every month","Pressure for everything

Just do or die

Inhumane behaviour of management and boss

No personal connection

No leaves even if we went sick we have to be on field.

Work-life personal life balance is very very bad.","Show more"
"1.0","12 Feb 2021","TERRIBLE PLACE TO WORK AT","https://www.glassdoor.sg/Reviews/Employee-Review-Bharti-Airtel-RVW42397767.htm","Direct sales executive","Former employee, more than 1 year","Just the name and experience","Poor pay

No adequate transportation allowance within Lagos

No regular employee training

Unreasonable sales expectation with low rewards

No structure.

Employees get punished more than they get rewarded.

Path for growth is non-existent ( You come in as a DSE you stay as a DSE. The highest they would promote you to is a Team Lead of DSE and it is very rare. )

Terrible comp[any for you to give your life to. 

Stay away from this company if you want your mental sanity intact.","Show more"
"3.0","7 Apr 2021","Decent Place to work wit","https://www.glassdoor.sg/Reviews/Employee-Review-Bharti-Airtel-RVW45131752.htm","Manager - solutions architect","Former employee, more than 3 years","Flexible work hours. The organization operated flexi. You resumed before 10am and closed at most 8 hour hours.","Leadership vision. There is no clear vision for the business. I assumed we did not just want to be number 4 in the market but we did not also plan to be number 1","Show more"
"5.0","20 Apr 2015","DGM Brand Marketing","https://www.glassdoor.sg/Reviews/Employee-Review-Bharti-Airtel-RVW6385913.htm","Anonymous employee","Former employee","Lauch of Airtel 3G & 4G and Airtel Indian Grand Prix.

The 3G & 4G service launch coupled with Formula1 strategic tie-up,  gave airtel the platform to rebrand itself as an appealing brand for youth and proved to ba an excellent surrogate to showcase the core proposition Speed.","The entitlement usage could have been better in the year 1 of Airtel Indian Grand Prix.","Show more"
"1.0","1 Sept 2016","Review","https://www.glassdoor.sg/Reviews/Employee-Review-Bharti-Airtel-RVW11761819.htm","Senior manager","Former employee",". If you have a Godfather sitting here, you will be among highest paid employees in the Industry.
2. Market Leader in India.
3. A beautiful Head Office with all facilities","1. No growth, if there is no godfather in the company.
2. Other Telecom Employers do not give you interview call as it has no poaching agreement with all major telecom companies (operators and vendors).
3. Entire Company runs on Excel sheet, with no process or procedure of doing things and has no clue what is happening. Processes made are meant to be broken by senior management and are painfully justified to Auditors by Junior Management.
4. Growth path is only for Employees with Godfathers, General Quota employee suffers.
5. Even a B.A Pass promoted to a senior level in the Technical department and an Engineer gets downgraded.
6. From Executive to a Vice President, everyone does the same thing.
7. A complete Lalaji's shop culture with no professionalism.
8. Appraisal mechanism/portal is fake, employee with no godfather is rated least or even thrown out.HR Department is dummy.
9. Young Campus recruitees have a good growth path with Assistant Manager to Senior Manager in just 3 years, other employees (General Quota) are made to limp around for 4-5 years for one promotion.
10. Internal Politics is very high, a new comer will be made to struggle, hell of a lot while others with Godfather will enjoy the party.
11. Good sincere employees were either made to resign or simply thrown out of Airtel.
12. No clear focus, future or vision of doing things, everything is done in chaotic way.
13. Senior management here is highly paid (Crores Club), are actually a bunch of fools that got promoted while the company was growing. They treat themselves as gods and expect their subordinates to worship them.
14. There is so much uncertainity in the company that Every other employee tries to eat your job as if he has nothing to do.
15. Every second person is Diabetic, hypertensive, cardiac patient  or any life threatening disease and people have even collapsed and died while on duty.
16. You are bound to lose your skills if you stay more here although company arranges for paid holidays known as soft skill training which has actually no use to employees.
17. A complete show-off culture with everyone working for their bosses and not for the organisation. 
18. 360 Degree feedback surveys are done to check employee satisfaction, for which you are supposed to fill it in front of your boss and even if write an honest feedback about the shortcomings of the management , your comes to know about it and then your life is made hell, despite the non disclosure agreement in the survey. This entire activity is fake.","Show more"
"5.0","23 Sept 2016","Good place good people","https://www.glassdoor.sg/Reviews/Employee-Review-Bharti-Airtel-RVW12049299.htm","Marketing","Former employee, more than 5 years","Learning
Culture
Growth
Women pro
Employee centric
You should be flexible to more options, lots of cross function and diversified career opportunities awaits here.
Best thing is the daily work and madness here
Employee and tax benefits","Not pay masters
Nothing much
You need to be on high enegry
Overall good for me.","Show more"
"5.0","10 Jan 2017","techinician","https://www.glassdoor.sg/Reviews/Employee-Review-Bharti-Airtel-RVW13260507.htm","Shift supervisor","Current freelancer, more than 5 years","i deal with food which is a good taste for appetite and i have to consider different fields like weight, health, vegeterian, fast foods and healing support foods.","people have food problems , weigh problems, poor eating habits, some times individuals develop allergies after eating certain foods.","Show more"
"3.0","31 Jan 2017","Finance Analyst (GRC & SoD)","https://www.glassdoor.sg/Reviews/Employee-Review-Bharti-Airtel-RVW13575365.htm","Finance analyst (grc & sod)","Current employee, more than 1 year","Being a Telecom it provide you the following:
Telephone 36000(per year)
Mobile phone 7000(Every two year)
Accidental Insurance 2500000(Minimum
Quality food in very reasonable price
Good for Finance practices(e.g CA & MBA people)
Hike is good, better than the IT companies
Provide Outing & team engagement budget","Desi company..
Does not have corporate culture.
For technical people scope is very limited
No scope of learning beside work.
HR Sucks","Show more"
"4.0","23 Oct 2017","Good place for long term","https://www.glassdoor.sg/Reviews/Employee-Review-Bharti-Airtel-RVW17499566.htm","Senior business manager","Current employee, more than 3 years","- Offers some good profile and chance to work with veterans of industry
- Career progression is in one's own hand and shifts across functions & diff profiles are possible
- Great office with all facilities","- Few old practices & work culture hierarchy driven 
- Heavy layer of DGM's/VP's which increases redundancy and turnaround time","Show more"
"4.0","3 Feb 2018","Dolby Digital Plus surround sound for theatre like experience is very good  With airtel digital TV [HD] ....","https://www.glassdoor.sg/Reviews/Employee-Review-Bharti-Airtel-RVW19059459.htm","Manager client relations-international salesreporting","Current employee, more than 1 year","I thought Airtel is best for me to work here ....because I like this network and it's work ..","working for Project and Deployment where was taking part in fiber execution process of cellular connectivity.","Show more"
"5.0","20 Dec 2020","Was good working for Airtel  especially that I learnt alot of the skills and working in the diversity culture.","https://www.glassdoor.sg/Reviews/Employee-Review-Bharti-Airtel-RVW39654502.htm","Customer relationship manager","Former employee, more than 8 years","Good for learning ground as the Company provided  training every time we had new products or changes.","At times the processes were to long  and feedback was delayed to keep some one up to speed.","Show more"
"3.0","23 Jun 2021","Airtel","https://www.glassdoor.sg/Reviews/Employee-Review-Bharti-Airtel-RVW48718866.htm","Assistant manager","Former employee, more than 5 years","Challenging assignment and aggressiveness on work","Company relia on third party or MSP which is not good for brand valued.","Show more"
"3.0","13 Aug 2021","Experience at Airtel","https://www.glassdoor.sg/Reviews/Employee-Review-Bharti-Airtel-RVW51095124.htm","Assistant manager","Former employee, more than 1 year","If you got a suitable team, you will get exposure to technicalities of telecom domain.","There is no respect for work life balance. People would stare if you leave at 6:15 pm or 6:30 pm.","Show more"
"5.0","18 Nov 2021","Grow and learn with seasoned professionals","https://www.glassdoor.sg/Reviews/Employee-Review-Bharti-Airtel-RVW55528211.htm","Lead engineer","Current employee, more than 3 years","Management here is transparent, open, approachable and inclusive. 
Work here will challenge you in every possible way. Best part is one can challenge anyone in the organisation irrespective of the designation they hold.","While there is no limit to learning here, one may still have to be very patient for climbing up the ladder.","Show more"
"5.0","6 Jan 2022","Great Team with Great Work Culture","https://www.glassdoor.sg/Reviews/Employee-Review-Bharti-Airtel-RVW57499745.htm","Project lead","Current employee, less than 1 year","=>Great co-workers
=>Positive attitude
=>Company Growth and Advancement
=>Opportunities for professional & personal development
=>Embrace Collaboration
=>Strive for Excellence & Focus on Customer","Very Short Staff, High Work Load.","Show more"
"5.0","5 Aug 2012","Business analysts and B2B business intelligence","https://www.glassdoor.sg/Reviews/Employee-Review-Bharti-Airtel-RVW1811104.htm","Manager","Current employee, more than 5 years","Culture of innovation exists and if you want to do something nobody will stop you to do it, but will encourage you","The flip side is that things have become beauracratic, with lots of processes and approvals required to initiate activity","Show more"
"5.0","3 Jan 2016","VICE PRESIDENT","https://www.glassdoor.sg/Reviews/Employee-Review-Bharti-Airtel-RVW9056141.htm","Anonymous employee","Former employee, more than 5 years","It is fast paced organization and has a very robust talent management framework for learning. Compensation is extremely competitive and variable pay policy is one of the best in industry.","Since the top management change, the focus is primarily on sales and marketing people. This makes people in other functions a bit like second class citizens,","Show more"
"5.0","13 Jun 2016","Review","https://www.glassdoor.sg/Reviews/Employee-Review-Bharti-Airtel-RVW10907485.htm","Intern","Current intern, less than 1 year","Very nice place to work for. Very flexible working hours, working environment is very conducive. Great place to lean and grow.","Too many people are involved in a single project sometimes, which takes away from the productivity. Deadlines, sometimes, take a toll on you.","Show more"
"4.0","10 Nov 2017","Airtel pros and cons","https://www.glassdoor.sg/Reviews/Employee-Review-Bharti-Airtel-RVW17845359.htm","Anonymous contractor","Former contractor, more than 5 years","Great exposure to high pressure work environment. Forces you to be nimble and think on your feet. A bunch of great, hard working, driven people. Fair and transparent employers with great perks and benefits","Over - reliance on instant execution with no priorities to some amount of planning","Show more"
"5.0","23 Jun 2018","Bharti Airtel Ltd","https://www.glassdoor.sg/Reviews/Employee-Review-Bharti-Airtel-RVW21176785.htm","Sales manager","Current employee, more than 3 years","Enablement at all the level
Options to change profile internally
Self-development through ground experience
Dynamic organization wrt changes in the marketplace
Nothing is impossible","DNA of the company is B2C, for people working in enterprise
Process and new product focus/innovation in Enterprise business","Show more"
"5.0","15 Nov 2018","Planning and Forecasting","https://www.glassdoor.sg/Reviews/Employee-Review-Bharti-Airtel-RVW23436156.htm","Anonymous employee","Former employee, more than 1 year","Great place to work.  You will have a lot to learn and do. One thing about the BPA is that you must be extremely good with excel to cope.","Which they can adopt more Analytical tools to reduce dependence on excel.","Show more"
"3.0","25 Nov 2018","Sales Executives","https://www.glassdoor.sg/Reviews/Employee-Review-Bharti-Airtel-RVW23552789.htm","Customer sales executive","Current contractor, more than 1 year","Airtel is the Telecom Giant and markets current leading ISP.  Working at Airtel is very enriching. Its been 1.9 years here at retail and the ethics culture is good.","Not every roles and responsibilities are given equal priorities, earning scope must be set to a higher range.","Show more"
"5.0","25 Feb 2019","Good place to work at","https://www.glassdoor.sg/Reviews/Employee-Review-Bharti-Airtel-RVW24863699.htm","Cem lead","Former employee, more than 1 year","1)  Exposure to latest technologies
2) Approachable Management
3) Transparent work culture
4)  Work life balance (only if you are not into operations)","Salary hikes in terms of yearly increments is quite nominal; not exceptional","Show more"
"4.0","14 Aug 2021","One of the good companies in NCR","https://www.glassdoor.sg/Reviews/Employee-Review-Bharti-Airtel-RVW51114050.htm","Lead ios engineer","Current employee, more than 1 year","Experience of working on large scale application.
opportunity to work within diff parts of telecom domain, recharge, banking, payments.
Great office space, free coffee and snacks :P
Fun games time to time at office.","- at present more Leadership roles than developers, this can create problems in promotion.
- salary hike is way less compared to work throughput and considering the company's substantial growth","Show more"
"5.0","1 Dec 2021","Area Manager for Fiber Operations","https://www.glassdoor.sg/Reviews/Employee-Review-Bharti-Airtel-RVW56121295.htm","Area manager","Current employee, more than 8 years","Job Satisfaction , Freedom to Take Decisions for Company benefits, freedom to Share your Opinion, Transparency for Each and Everything.","Appreciations must be encourage for Employees -","Show more"
