"review-details_overallRating__VDxCx","timestamp_reviewDate__wvu2v","review-details_detailsLink__NxIv5","review-details_detailsLink__NxIv5 href","review-details_employee__5iA6v","review-details_employeeDetails__BvAwX","review-details_isCollapsed__Bsg_9","review-details_isCollapsed__Bsg_9 2","expand-button_ExpandButton__FlBlZ"
"5.0","23 Oct 2021","Airtel Company review","https://www.glassdoor.sg/Reviews/Employee-Review-Bharti-Airtel-RVW54386381.htm","Channel sales manager","Former employee, more than 3 years","Nice company to work ,they give full support to young talents","No concerns only managers are problem not.company","Show more"
"5.0","28 Oct 2021","15 Years with Airtel","https://www.glassdoor.sg/Reviews/Employee-Review-Bharti-Airtel-RVW54603023.htm","Manager","Current employee, more than 10 years","Excellent space for work , Friendly environment , Experience Management , Team leaders","No any concern , Enjoying work in airtel","Show more"
"4.0","7 Nov 2021","Good place to learn","https://www.glassdoor.sg/Reviews/Employee-Review-Bharti-Airtel-RVW55023580.htm","Senior manager","Former employee, more than 5 years","Nice mix of pedigree & work ex folks 
Work life good at airtel center","Some petty politics at times","Show more"
"5.0","11 Nov 2021","Good place to work","https://www.glassdoor.sg/Reviews/Employee-Review-Bharti-Airtel-RVW55257914.htm","Senior software engineer","Current employee, more than 1 year","Complete ownership of end to end delivery
Opportunity to work on different tech stack","Average Compensation if compared with startups or mid level","Show more"
"5.0","9 Dec 2021","Great experience and growth","https://www.glassdoor.sg/Reviews/Employee-Review-Bharti-Airtel-RVW56441050.htm","Nmt engineer","Current employee, more than 8 years","Great experience and growth
Different experience working in airtel","Currently outsourcing is taking place which will reduce the quality","Show more"
"5.0","16 Dec 2021","Looking for leadership profile.","https://www.glassdoor.sg/Reviews/Employee-Review-Bharti-Airtel-RVW56775392.htm","Zonal sales manager","Current employee","Employee friendly 
Technology preferred organization 
Known for its values
Have enough learning material
Upgrading himself time to time","2 player market organization.
Routine 
Overload working
Payscale
Limited","Show more"
"4.0","17 Dec 2021","It's the best place to work","https://www.glassdoor.sg/Reviews/Employee-Review-Bharti-Airtel-RVW56807904.htm","Sales representative","Current employee, more than 1 year","Work culture and work life balance","Regarding salaries and allowances.Work pressure.","Show more"
"3.0","8 Jan 2022","handling of all types of Network Complaints","https://www.glassdoor.sg/Reviews/Employee-Review-Bharti-Airtel-RVW57606775.htm","Network engineer","Current employee, less than 1 year","its very learning profile for my carrier","Nothing is bad in this profile","Show more"
"5.0","11 Jan 2022","Service oriented company","https://www.glassdoor.sg/Reviews/Employee-Review-Bharti-Airtel-RVW57729505.htm","Senior executive operations","Current employee, less than 1 year","Good knowledge gain in Bharti Airtel","Great experience gain in telicom industry by Airtel","Show more"
"5.0","13 Jan 2022","Best Company to work with","https://www.glassdoor.sg/Reviews/Employee-Review-Bharti-Airtel-RVW57849482.htm","Senior manager","Current employee, less than 1 year","Top notch work culture .
Top notch agression towards the goal.
Top notch employee friendly company .","Dont see any cons .","Show more"
