review-details_overallRating__VDxCx,timestamp_reviewDate__wvu2v,review-details_detailsLink__NxIv5,review-details_detailsLink__NxIv5 href,review-details_employee__5iA6v,review-details_employeeDetails__BvAwX,review-details_location__E_Ine,review-details_isCollapsed__Bsg_9,review-details_isCollapsed__Bsg_9 2,expand-button_ExpandButton__FlBlZ
4.0,28 Aug 2014,Good,https://www.glassdoor.co.in/Reviews/Employee-Review-Adani-Ports-and-Special-Economic-Zone-Limited-APSEZ-RVW4863981.htm,Executive,"Current employee, more than 5 years","Mundra, Gujarat",Good company to work in,"Personal Growth, Location constraint of Mundra",Show more
3.0,9 Apr 2017,Good place to work,https://www.glassdoor.co.in/Reviews/Employee-Review-Adani-Ports-and-Special-Economic-Zone-Limited-APSEZ-RVW14552562.htm,Anonymous employee,Current employee,,,,
5.0,10 Jan 2018,Roro,https://www.glassdoor.co.in/Reviews/Employee-Review-Adani-Ports-and-Special-Economic-Zone-Limited-APSEZ-RVW18659722.htm,Anonymous employee,"Current employee, more than 8 years","Mundra, Gujarat",Good working always nice company,Very good working best product,Show more
5.0,8 Sept 2020,Adani ports,https://www.glassdoor.co.in/Reviews/Employee-Review-Adani-Ports-and-Special-Economic-Zone-Limited-APSEZ-RVW35737214.htm,Associate manager,Current employee,Ahmedabad,Good company to work with,No cons to specify about,Show more
3.0,18 Oct 2020,Good company for launching career,https://www.glassdoor.co.in/Reviews/Employee-Review-Adani-Ports-and-Special-Economic-Zone-Limited-APSEZ-RVW37296800.htm,Senior engineer,"Former employee, more than 1 year","Mundra, Gujarat",,,
3.0,21 Jan 2021,Worst Employer,https://www.glassdoor.co.in/Reviews/Employee-Review-Adani-Ports-and-Special-Economic-Zone-Limited-APSEZ-RVW41171228.htm,Senior engineer,"Former employee, more than 3 years",Chennai,,,
5.0,6 Apr 2021,Good,https://www.glassdoor.co.in/Reviews/Employee-Review-Adani-Ports-and-Special-Economic-Zone-Limited-APSEZ-RVW45128065.htm,Senior engineer e & i,Current employee,Nellore,,,
4.0,28 Sept 2021,Nice job,https://www.glassdoor.co.in/Reviews/Employee-Review-Adani-Ports-and-Special-Economic-Zone-Limited-APSEZ-RVW53198487.htm,Senior engineer,"Current employee, more than 1 year","Mundra, Gujarat",,,
3.0,4 Sept 2017,Review,https://www.glassdoor.co.in/Reviews/Employee-Review-Adani-Ports-and-Special-Economic-Zone-Limited-APSEZ-RVW16661985.htm,Anonymous employee,Current employee,,,,
4.0,29 Jul 2018,Working environment,https://www.glassdoor.co.in/Reviews/Employee-Review-Adani-Ports-and-Special-Economic-Zone-Limited-APSEZ-RVW21712190.htm,Anonymous employee,Current employee,,,,
3.0,17 Jun 2019,Salary,https://www.glassdoor.co.in/Reviews/Employee-Review-Adani-Ports-and-Special-Economic-Zone-Limited-APSEZ-RVW27465054.htm,Dgm,"Current employee, more than 5 years",,good with decent systems in place,"slow growth, but otherwise all ok",Show more
5.0,21 Jun 2019,H,https://www.glassdoor.co.in/Reviews/Employee-Review-Adani-Ports-and-Special-Economic-Zone-Limited-APSEZ-RVW27527939.htm,Anonymous intern,Current intern,,,,
3.0,13 Aug 2020,Very good company,https://www.glassdoor.co.in/Reviews/Employee-Review-Adani-Ports-and-Special-Economic-Zone-Limited-APSEZ-RVW34902836.htm,Executive engineer,"Former employee, less than 1 year","Mundra, Gujarat",,,
3.0,16 Sept 2020,Good opportunities,https://www.glassdoor.co.in/Reviews/Employee-Review-Adani-Ports-and-Special-Economic-Zone-Limited-APSEZ-RVW36034695.htm,Program manager,"Current employee, more than 1 year",Ahmedabad,,,
5.0,2 Jan 2022,good,https://www.glassdoor.co.in/Reviews/Employee-Review-Adani-Ports-and-Special-Economic-Zone-Limited-APSEZ-RVW57317262.htm,Assistant manager,Current employee,Ahmedabad,,,
3.0,23 Sept 2020,Bad Experience,https://www.glassdoor.co.in/Reviews/Employee-Review-Adani-Ports-and-Special-Economic-Zone-Limited-APSEZ-RVW36280897.htm,Anonymous employee,Former employee,,Township is good with many facility,"Long working hours
Bad working condition",Show more
4.0,16 Jan 2021,good,https://www.glassdoor.co.in/Reviews/Employee-Review-Adani-Ports-and-Special-Economic-Zone-Limited-APSEZ-RVW40834597.htm,Assistant manager,Current employee,,,,
4.0,14 Feb 2021,Assistant manager,https://www.glassdoor.co.in/Reviews/Employee-Review-Adani-Ports-and-Special-Economic-Zone-Limited-APSEZ-RVW42491155.htm,Assistant manager,"Former employee, more than 3 years","Mundra, Gujarat",,,
2.0,13 Dec 2021,Na,https://www.glassdoor.co.in/Reviews/Employee-Review-Adani-Ports-and-Special-Economic-Zone-Limited-APSEZ-RVW56617586.htm,Anonymous employee,Former employee,,,,
3.0,27 Aug 2018,Good,https://www.glassdoor.co.in/Reviews/Employee-Review-Adani-Ports-and-Special-Economic-Zone-Limited-APSEZ-RVW22175258.htm,Anonymous employee,"Former employee, more than 8 years","Mundra, Gujarat",,,
4.0,1 Sept 2021,Manager,https://www.glassdoor.co.in/Reviews/Employee-Review-Adani-Ports-and-Special-Economic-Zone-Limited-APSEZ-RVW51943350.htm,Anonymous employee,"Current employee, more than 3 years",,,,
1.0,1 May 2021,Worst place to work,https://www.glassdoor.co.in/Reviews/Employee-Review-Adani-Ports-and-Special-Economic-Zone-Limited-APSEZ-RVW46325764.htm,Senior engineer,"Current employee, more than 1 year",,,,
1.0,17 Nov 2018,Pay review,https://www.glassdoor.co.in/Reviews/Employee-Review-Adani-Ports-and-Special-Economic-Zone-Limited-APSEZ-RVW23458247.htm,Anonymous employee,"Current employee, more than 3 years",Mundra Bandar,,,
1.0,28 Jan 2021,Toxic workculture,https://www.glassdoor.co.in/Reviews/Employee-Review-Adani-Ports-and-Special-Economic-Zone-Limited-APSEZ-RVW41581111.htm,Senior engineer,Former employee,"Mundra, Gujarat",It's a stable and secure job,"Toxic work culture
Remote location
60-hr work weeks",Show more
5.0,1 Jul 2024,Great,https://www.glassdoor.co.in/Reviews/Employee-Review-Adani-Ports-and-Special-Economic-Zone-Limited-APSEZ-RVW88751674.htm,Software engineer,Current employee,Dhaka,,,
3.0,11 Feb 2023,"Great Company to Learn, Not so great to Grow.",https://www.glassdoor.co.in/Reviews/Employee-Review-Adani-Ports-and-Special-Economic-Zone-Limited-APSEZ-RVW73538115.htm,Senior officer,Former employee,,"# Integrated port and terminal facilities, unlike traditional land lord port + private operators model provides a holistic and 360 degree opportunity to learn and experience port operations in its entirety. # I4.0 tech incorporation and customization with existing proprietary software especially in Liquid Terminal-Hazira Port is pioneering in its own right. # Highly challenging job which demands performance.",# 12 hours shift - 8 hours pay. Blatant exploitation. # Deep inroads and dirty politics. Stereotypical family business. # No appreciation for employees. Management disinterested.,Show more
4.0,12 Sept 2022,Analytics Team,https://www.glassdoor.co.in/Reviews/Employee-Review-Adani-Ports-and-Special-Economic-Zone-Limited-APSEZ-RVW68978269.htm,Anonymous intern,"Former intern, less than 1 year",,,,
5.0,17 Jun 2022,Great hands-on Learning Experience,https://www.glassdoor.co.in/Reviews/Employee-Review-Adani-Ports-and-Special-Economic-Zone-Limited-APSEZ-RVW65675865.htm,Electrical engineer intern,"Former intern, less than 1 year",,,,
3.0,23 Dec 2016,Decent company,https://www.glassdoor.co.in/Reviews/Employee-Review-Adani-Ports-and-Special-Economic-Zone-Limited-APSEZ-RVW13093901.htm,Senior engineer,"Current employee, less than 1 year","India, TX","Hierarchy is less with Adani Managers, 
Easy to go with company. Can explore more opportunities since business is growing exponentially with suitable infrastructure so in basic you get all sorts of exposure and relevant knowledge.","Less salary, saturdays working , politics to a extend, no proper work culture unlike mundra, no proper job description, no proper job allocation, poor planning. Culture similar to mundra and hazira should be implemented in all ports.",Show more
5.0,11 Oct 2020,India's International Company,https://www.glassdoor.co.in/Reviews/Employee-Review-Adani-Ports-and-Special-Economic-Zone-Limited-APSEZ-RVW37020927.htm,Customer logistics manager,Current employee,Dubai,"Work culture, International approach, Futuristic decisionmaking process.","They should follow 5 day week as they are an International brand, in keeping with Global Best Practices.",Show more
5.0,4 Jan 2021,Worked on Computer Vision  Technology,https://www.glassdoor.co.in/Reviews/Employee-Review-Adani-Ports-and-Special-Economic-Zone-Limited-APSEZ-RVW40065645.htm,Deep learning,Former intern,Budapest,"1. Lots of learning opportunities.
2. Positive Environment.",None at the level of interhsip,Show more
3.0,19 Jun 2019,Rtg operator,https://www.glassdoor.co.in/Reviews/Employee-Review-Adani-Ports-and-Special-Economic-Zone-Limited-APSEZ-RVW27493690.htm,Rtg rmg and armg operator,"Current contractor, more than 5 years","Abu Dhabi, Abu Dhabi",Near to my home town,Low salary need good and best salary,Show more
1.0,14 Jan 2021,Operations department at Adani Dhamra is a living nightmare.,https://www.glassdoor.co.in/Reviews/Employee-Review-Adani-Ports-and-Special-Economic-Zone-Limited-APSEZ-RVW40749116.htm,Assistant manager,"Current employee, more than 1 year",Dhāmra,"Salary on time. 
Company provides uniform.","No rest 24*7 job
Management will mentally harass and use abusive language
No fixed working hours
Total lack of system",Show more
