"review-details_overallRating__VDxCx","timestamp_reviewDate__wvu2v","review-details_detailsLink__NxIv5","review-details_detailsLink__NxIv5 href","review-details_employee__5iA6v","review-details_employeeDetails__BvAwX","review-details_location__E_Ine","review-details_isCollapsed__Bsg_9","review-details_isCollapsed__Bsg_9 2","expand-button_ExpandButton__FlBlZ","review-details_reviewHelpfulCount__vhobW"
"3.0","11 Oct 2024","Learning opportunities as a fresher","https://www.glassdoor.co.in/Reviews/Employee-Review-LTIMindtree-RVW91831199.htm","Product engineer","Former employee","Mumbai","","","",""
"3.0","11 Oct 2024","No salary hike. Management not supportive","https://www.glassdoor.co.in/Reviews/Employee-Review-LTIMindtree-RVW91833623.htm","Senior data engineer","Current employee, more than 1 year","","Hybrid work culture.
Good HR policy","Some clients are not good.
No increment
Management not supportive","Show more",""
"3.0","9 Oct 2024","Job at ltimindtree","https://www.glassdoor.co.in/Reviews/Employee-Review-LTIMindtree-RVW91786964.htm","Senior java developer","Current freelancer, less than 1 year","Hyderābād","Good company and great place to work","No proper response from hr","Show more",""
"4.0","11 Oct 2024","Good company","https://www.glassdoor.co.in/Reviews/Employee-Review-LTIMindtree-RVW91833475.htm","Sr engineer","Current employee","Bangalore Rural","","","",""
"4.0","9 Oct 2024","Great place to work","https://www.glassdoor.co.in/Reviews/Employee-Review-LTIMindtree-RVW91761185.htm","Senior software engg","Current employee, more than 1 year","Navi Mumbai","Great place to work.
Job security.
Luxurious offices infrastructure.","Not giving appraisal and hike, they are using employees appraisal money to build there own building for offices.","Show more",""
"3.0","9 Oct 2024","Low salary","https://www.glassdoor.co.in/Reviews/Employee-Review-LTIMindtree-RVW91761631.htm","Senior data engineer","Current employee, more than 5 years","Bengaluru","Mindtree had very good management before the merger.","Currently Management doesn't response to employees queries .
They don't care of employees even if u do more than 100%","Show more",""
"4.0","25 Sept 2024","Pros and cons","https://www.glassdoor.co.in/Reviews/Employee-Review-LTIMindtree-RVW91339562.htm","Senior software developer","Current employee, more than 1 year","Pune","Nice company depending on the project/ client we are deployed in
And work life balance for me, I worked with two clients and was good experience with both of them not too much pressure at the same time not too linient","Maybe this is with all the service based co.s, hike and promotions are not to he expected much atleast for them who are at early stage of their career 
And policy to attend office particularly this many hours","Show more",""
"1.0","7 Oct 2024","Micro management, company politics, too much work load","https://www.glassdoor.co.in/Reviews/Employee-Review-LTIMindtree-RVW91703863.htm","Senior software engineer","Current employee, less than 1 year","Pune","No pros to join this company","Micro management
Company politics and one sided policies
Too much work load
Disturbed work life balance
Unprofessional behaviour and missuse of powers by managers","Show more",""
"4.0","11 Oct 2024","Pay","https://www.glassdoor.co.in/Reviews/Employee-Review-LTIMindtree-RVW91831742.htm","Associate software engineer","Former employee, less than 1 year","Pune","Friendly environment, Not much stress, Good training","Did not find any cons","Show more",""
"2.0","11 Oct 2024","Satisfaction","https://www.glassdoor.co.in/Reviews/Employee-Review-LTIMindtree-RVW91836977.htm","Consultant","Current employee, more than 3 years","Bengaluru","","","",""
