review-details_overallRating__VDxCx,timestamp_reviewDate__wvu2v,review-details_detailsLink__NxIv5,review-details_detailsLink__NxIv5 href,review-details_employee__5iA6v,review-details_employeeDetails__BvAwX,review-details_location__E_Ine,review-details_isCollapsed__Bsg_9,review-details_isCollapsed__Bsg_9 2,expand-button_ExpandButton__FlBlZ
4.0,29 Aug 2024,Business analyst,https://www.glassdoor.co.in/Reviews/Employee-Review-Bajaj-Finance-RVW90525227.htm,Business analyst,Current employee,,,,
4.0,29 Aug 2024,Good Company,https://www.glassdoor.co.in/Reviews/Employee-Review-Bajaj-Finance-RVW90559566.htm,Manager,Former employee,Pune,,,
3.0,30 Aug 2024,NA,https://www.glassdoor.co.in/Reviews/Employee-Review-Bajaj-Finance-RVW90573613.htm,Senior software engineer,Current employee,Pune,,,
4.0,22 Aug 2024,Good,https://www.glassdoor.co.in/Reviews/Employee-Review-Bajaj-Finance-RVW90344486.htm,Sales manager,"Current employee, more than 1 year",Mangalore,"Good company
Pays well
Career growth","Target oriented 
No free time
Less leaves
Hectic work hours",Show more
4.0,22 Aug 2024,Bajaj salary,https://www.glassdoor.co.in/Reviews/Employee-Review-Bajaj-Finance-RVW90316103.htm,Product manager,"Current employee, more than 3 years",Pune,,,
2.0,17 Jan 2024,#Worstplacetowork,https://www.glassdoor.co.in/Reviews/Employee-Review-Bajaj-Finance-RVW83470591.htm,Deputy manager,"Current employee, more than 1 year",Calcutta,"If you don't have any personal obligations and don't need time for yourself and family and money is your driving factor, go for it.","1) If you are in sales, basically you are just a slave. Senior management has no control over their tounge, abusive languages are used on a daily basis.

2) They expect to work for them but can't provide a basic laptop to their employees, as it is a finance related sector most of the communication and mails are confidential in nature and cannot be accessed on personal Laptops, let alone making day to day data and sheet which requires one to copy the data from mails. *Company's that have far less turnover than this company can provide laptops to their employees, why can't they ? I fathom.

3) You'll have leaves but you'll have to hear a word or two if you take it.

4) There is no sitting HR in most of their locations, and, the ones sitting in their ac rooms at HO doesn't really care if you work for the company and die.

5) There is no to minimal training on the work you have to do. You have to learn everything on your own, and get scolded and hear abuses if you mess up.

I can just go on and on.",Show more
4.0,23 Aug 2024,Corp trainer,https://www.glassdoor.co.in/Reviews/Employee-Review-Bajaj-Finance-RVW90348280.htm,Corporate trainer,"Current contractor, more than 1 year",Bengaluru,,,
4.0,20 Aug 2024,BFL,https://www.glassdoor.co.in/Reviews/Employee-Review-Bajaj-Finance-RVW90272176.htm,Risk manager,"Former employee, more than 1 year",Pune,,,
4.0,29 Jun 2024,Expert in Building Advanced Data Engineering Pipelines: From Data Munging to Schema Evolution and Analytical Enrichment,https://www.glassdoor.co.in/Reviews/Employee-Review-Bajaj-Finance-RVW88694452.htm,Senior manager,"Current employee, more than 1 year",Pune,"1- Opportunity to work on a variety of data engineering projects that involve data munging, wrangling, modernization, curation, customization, enrichment, and more
2- Access to cutting-edge tools and technologies in the data engineering field
3-Professional development opportunities through continuous learning, training programs, and certifications.
4-Direct involvement in projects that drive business insights and strategic decision-making","1-Data engineering projects often come with demanding deadlines and a high volume of tasks, leading to potential stress and long working hours
2-Complex and Evolving Technology Stack",Show more
4.0,23 Aug 2024,Good Company,https://www.glassdoor.co.in/Reviews/Employee-Review-Bajaj-Finance-RVW90356723.htm,Senior unit manager,"Current employee, more than 3 years",Pune,"Salary 
Exposure
Open door policy
Policies and benefits","Poor work life balance
Less holdiays",Show more
3.0,19 Aug 2024,Good and bad,https://www.glassdoor.co.in/Reviews/Employee-Review-Bajaj-Finance-RVW90235876.htm,Deputy manager,"Current employee, more than 3 years",Cannanore,"Salary
Incentives
Reward and Recognition
Growth","No work life balance
Work on leave days
Work under pressure",Show more
1.0,3 May 2024,Worst company to work at,https://www.glassdoor.co.in/Reviews/Employee-Review-Bajaj-Finance-RVW86923599.htm,Unit manager,"Current employee, more than 1 year",Pune,"The only good thing they provide is a decent compensation and that too once when you join, later on do not expect any major raise where the company is earning 20% profit yearly and still the increments were very low","There are so many cons about this workplace.

The most major one amongst them is THERE IS NO WORK-LIFE BALANCE
It’s literally the worst place to work at if you have a life outside office. Everyday you will take home lots of stress and hairfall. Everyone plays dirty office politics here and promotions and recognitions are purely based on favouritism. All Saturdays are working (the worst among them all), You cannot take a long leave even if it’s important. BYOD policy, that means you will have to buy your own device from them for doing their work and it will be totally encrypted so you cannot use it for your personal use and they will deduct EMIs from the salary every month. Manager forces team to put good ratings in employee satisfaction survey",Show more
5.0,18 Aug 2024,Salary,https://www.glassdoor.co.in/Reviews/Employee-Review-Bajaj-Finance-RVW90190756.htm,Sr. area manager,"Current employee, more than 1 year",Pune,,,
