review-details_overallRating__VDxCx,timestamp_reviewDate__wvu2v,review-details_detailsLink__NxIv5,review-details_detailsLink__NxIv5 href,review-details_employee__5iA6v,review-details_employeeDetails__BvAwX,review-details_location__E_Ine,review-details_isCollapsed__Bsg_9,review-details_isCollapsed__Bsg_9 2,expand-button_ExpandButton__FlBlZ,review-details_isExpanded__bLJng,review-details_isExpanded__bLJng 2
4.0,5 Jul 2012,excellent,https://www.glassdoor.co.in/Reviews/Employee-Review-Adani-Power-RVW1692894.htm,Management trainee,"Current employee, less than 1 year",Ahmedabad,"grooming sector, growth rate is very high, exposure to all related area , lot to learn, no 1 private player in power production at a single location","real time energy trading is involved so no time limit, generally 10 hours working in a day, initially pay is at medium level",Show more,,
4.0,7 Jan 2014,"Had a good,rich and fruitful experience working with Adani Power",https://www.glassdoor.co.in/Reviews/Employee-Review-Adani-Power-RVW3499020.htm,Senior engineer,"Former employee, more than 1 year","Mundra, Gujarat","1. Hands on experience in Power generation
2. Supportive seniors who are willing to teach and guide you in the process of power generation.
3. Good workculture","1. Located at a secluded place (Mundra) so an employee feels a bit cut-off from the city life.
2. Hierarchical organization structure.",Show more,,
4.0,6 Sept 2020,A great company to get overall exposure of the Indian Power Sector,https://www.glassdoor.co.in/Reviews/Employee-Review-Adani-Power-RVW35663873.htm,Deputy manager,Current employee,Ahmedabad,"Startup like work environment
Large footprint in India, beneficial to gain experience
Top management team is one of the most experienced in the sector","Due to workaholic culture, no fixed working hours
Remuneration is somewhat below market parity
Long corporate hierarchy and promotions are not based on performance",Show more,,
3.0,8 Jan 2022,Very low salary growth rate,https://www.glassdoor.co.in/Reviews/Employee-Review-Adani-Power-RVW57609161.htm,Senior engineer,"Current employee, more than 1 year","Mundra, Gujarat","1. Good amount of learning from coming directly to engineering college
2. Good buildup in professional skills as well
3. Will teach you how politics works in any organization","1. Salary growth is very poor.
2. Management is not supportive and more often follows centralized approach on taking decision rather than giving freedom to employees.",Show more,,
5.0,14 Apr 2021,Very nice work place to learn actual managerial skills,https://www.glassdoor.co.in/Reviews/Employee-Review-Adani-Power-RVW45500746.htm,Anonymous employee,"Former employee, less than 1 year",Ahmedabad,"Good decent salary, other benefits. People are very friendly and nice, you can learn a lot from all of them. Company treats their employees as family and cares well.","6 days working, otherwise all is good considering reputation of Adani group in Location like Ahmedabad.",Show more,,
1.0,19 Dec 2021,"Do join this company..lot of work load
Less salary, no promotion as per company policy",https://www.glassdoor.co.in/Reviews/Employee-Review-Adani-Power-RVW56866317.htm,Anonymous employee,"Current employee, more than 8 years",Udupi,Nothing to say as of such.,"Better to not join this company

Now a days no power plant is running
Day by day company reducing manpower
No of promotions are reducing significantly.
I have been working in this company more than 6 years no promotions given dispute of working

All are old people no new ideas in the group

Blindly fallows HO.",Show more,,
4.0,12 Dec 2019,Very good aaproach towards target,https://www.glassdoor.co.in/Reviews/Employee-Review-Adani-Power-RVW30843977.htm,Senior engineer,"Former employee, more than 3 years","Mundra, Gujarat",You will learn to grow from basics here. This company is professionally very aggressive. Courage trust commitment is the basic idea  towards the culture pf the company.,Pays ale are not according to the industry standards,Show more,,
3.0,24 Oct 2016,Company review for freshers.,https://www.glassdoor.co.in/Reviews/Employee-Review-Adani-Power-RVW12426131.htm,Senior engineer,"Former employee, more than 1 year","Mundra, Gujarat","Company is good.
Growth is good .
First super critical plant.
new technology to learn and grow.
Very huge power plant.Lot of oppoutuinity to grow and learn.","Very remote  areas like tiroda,mundra.
Too far from Ahmedabad.not good connectivity.
No life in mundra.
Lot of Gujarati feeling between employees.Very bad work culture.",Show more,,
4.0,27 Jul 2013,"Good Company,Great opportunity to succeed, Great pay scale, HR team very supportive",https://www.glassdoor.co.in/Reviews/Employee-Review-Adani-Power-RVW2865498.htm,Senior manager,"Former employee, more than 1 year","Mundra, Gujarat","Hard Work noticed and appreciated, Great pay. The company is a leader in latest technology",Power plants located at remote places so it is a problem for people with families,Show more,,
4.0,3 Mar 2016,Manager Turbine and Control system,https://www.glassdoor.co.in/Reviews/Employee-Review-Adani-Power-RVW9794188.htm,Instrument and controls tradesperson,"Current employee, more than 10 years","Indi, Karnataka","Hard work, Knowledgeable , work experience, Involvement, adopting the techno-lodges, team work, understanding the customer requirement and implementing the same.","Working daily 12 to 13 Hrs, Not able to spend time for children education",Show more,,
2.0,26 Jun 2018,GET,https://www.glassdoor.co.in/Reviews/Employee-Review-Adani-Power-RVW21212730.htm,Anonymous employee,Former employee,,"Good salary.
Promising career for a long time if you are not very eager for growth","very toxic environment
NO mutual respect. If you are junior, virtually they can treat you any way they like.
Unnecessary overtimes (everyday)",Show more,,
4.0,11 Jan 2014,A very Good experience with this company as I joined this company as a GET and got lots of opportunity to learn.,https://www.glassdoor.co.in/Reviews/Employee-Review-Adani-Power-RVW3519450.htm,Senior engineer,"Current employee, more than 1 year","Gondia, Maharashtra",,,,Great learning experience with job responsibility and great job satisfaction,As I joined this company on GET level so from my side their is no cons
5.0,15 Mar 2016,Fast growing and great place to work,https://www.glassdoor.co.in/Reviews/Employee-Review-Adani-Power-RVW9923984.htm,Anonymous employee,Current employee,,Great to work. Can do your work with full responsibility and accountability. Risk takers are encouraged. Good company reputation and pride.,Bell curve approach in performance appraisal shall slow down a bit for some.,Show more,,
5.0,9 Jan 2017,Awesome. Couldn't ask for more.,https://www.glassdoor.co.in/Reviews/Employee-Review-Adani-Power-RVW13246705.htm,Research intern,Former employee,Ahmedabad,"Attention is paid to every individual
lots of interesting projects to choose from
nice office in the prime location of the city. easily accessible.",none experienced as such. Was there for two months only.,Show more,,
2.0,20 Mar 2021,Company can do better if it try to think about employees,https://www.glassdoor.co.in/Reviews/Employee-Review-Adani-Power-RVW44315074.htm,Senior engineer,"Current employee, more than 1 year","Raipur, Chhattisgarh",U have exposure to everything coz they give u penny against ur work,Work life balance is worst,Show more,,
