"review-details_overallRating__VDxCx","timestamp_reviewDate__wvu2v","review-details_detailsLink__NxIv5","review-details_detailsLink__NxIv5 href","review-details_employee__5iA6v","review-details_employeeDetails__BvAwX","review-details_location__E_Ine","review-details_isCollapsed__Bsg_9","review-details_isCollapsed__Bsg_9 2","expand-button_ExpandButton__FlBlZ"
"4.0","5 Aug 2021","Good company","https://www.glassdoor.co.in/Reviews/Employee-Review-SBI-Card-RVW50717937.htm","Sbi po","Current employee, more than 5 years","Lucknow","Young staff good environment for working
Proper leaves (if u able. To get) canteen food is good","Less increment
Groupism is bad for employees, management is not paying attention to this .","Show more"
"5.0","2 Dec 2021","SBI card is wonderful company for career building","https://www.glassdoor.co.in/Reviews/Employee-Review-SBI-Card-RVW56131622.htm","Manager-in-training","Current employee","","Healthy competition, no office politics, timely wage policy.","COVID effected there business standard later they ask to leave many employees","Show more"
"3.0","15 Dec 2021","I'm always will to deal with challenges. That's giving good result.","https://www.glassdoor.co.in/Reviews/Employee-Review-SBI-Card-RVW56719536.htm","Branch relationship executive","Current contractor, less than 1 year","Thiruvananthapuram","Good place for achievements.
Delaing with challenges.
Live intraction with customers.
Helping to improve sales skills.
Safe and secure place to do work.","Customer handling and convincing. Sales","Show more"
"3.0","19 Jun 2018","Good","https://www.glassdoor.co.in/Reviews/Employee-Review-SBI-Card-RVW21110392.htm","Anonymous employee","Current employee","Gurgaon, Haryana","Good for employees who want to make a growth on short period.","Always extend shift hour and no OT... No off on government holiday not to pay if present","Show more"
"4.0","23 Aug 2019","Operation Manager","https://www.glassdoor.co.in/Reviews/Employee-Review-SBI-Card-RVW28814488.htm","Anonymous employee","Current employee","","A good growing company to be a part of.","It's like a govt company with too many protocols before the work gets done. Many projects remains in pipeline due to IT","Show more"
"4.0","17 Oct 2019","Best place to work","https://www.glassdoor.co.in/Reviews/Employee-Review-SBI-Card-RVW29880163.htm","Anonymous employee","Former employee","","","",""
"2.0","15 Nov 2020","Ok company","https://www.glassdoor.co.in/Reviews/Employee-Review-SBI-Card-RVW38356322.htm","Dvp it","Current employee, more than 3 years","Gurgaon, Haryana","There is nothing good about the company except it is 2nd in credit card industries","Politics,less salary and perks. No defined parameter for designation and salary","Show more"
"2.0","23 Jul 2021","Normal","https://www.glassdoor.co.in/Reviews/Employee-Review-SBI-Card-RVW50172967.htm","Outside sales representative","Former employee","Nāgpur, Maharashtra","Target of card selling of company and grow a sales","Consumer are God for market consumer satisfaction is more important for seller","Show more"
"4.0","19 Jul 2017","Great place","https://www.glassdoor.co.in/Reviews/Employee-Review-SBI-Card-RVW15967958.htm","Anonymous employee","Current employee, less than 1 year","","1) Great place to learn for freshers
2) Good Management
3) Decent Pay","1) HR team is bureaucratic in approach","Show more"
"1.0","23 Sept 2019","Government Organisation in the garb of private","https://www.glassdoor.co.in/Reviews/Employee-Review-SBI-Card-RVW29407190.htm","Senior manager (projects)","Current employee, less than 1 year","Gurgaon, Haryana","Nothing. There is absolutely nothing good about this organisation.","No vision. Unnecessary pressure. Projects are meant to be delayed. If somebody starts his/her career in this company then it will be very difficult to make a switch because the manner in which this company operates I don't think any other company would be working in that manner.","Show more"
"5.0","16 Sept 2020","good company","https://www.glassdoor.co.in/Reviews/Employee-Review-SBI-Card-RVW36008968.htm","Manager","Former employee, more than 3 years","Gurgaon, Haryana","flexible culture, growth opportunities and good incentives !","Work can get repetitive - but the management is open to discuss and provide newer opportunities","Show more"
"5.0","18 Sept 2020","Very Good Place to work to learn under pressure. I enjoyed very well while working with sbi card.","https://www.glassdoor.co.in/Reviews/Employee-Review-SBI-Card-RVW36114409.htm","Collections manager","Current employee","New Delhi","","",""
"4.0","11 Jan 2021","I learn many things there so it is good experience for me.","https://www.glassdoor.co.in/Reviews/Employee-Review-SBI-Card-RVW40436580.htm","Data operator","Current employee, less than 1 year","Bhāgalpur, Bihar","They give freshers a platform","There is a contract for work","Show more"
"4.0","7 Sept 2021","Enjoyed working with sbi cards and learnt new ways of business doing","https://www.glassdoor.co.in/Reviews/Employee-Review-SBI-Card-RVW52184212.htm","Business development manager","Former employee","Karīmnagar,","Great feeling working with sbi cards and handling a team","Learnt team handling with sbi","Show more"
"5.0","28 Dec 2021","Good experience","https://www.glassdoor.co.in/Reviews/Employee-Review-SBI-Card-RVW57168933.htm","Sales executive","Former employee, more than 3 years","Calcutta","You have a option for earning extra money as incentive","Everyday sales target. Otherwise compani create a good working environment. Love it","Show more"
"4.0","9 Jan 2022","Solid Place","https://www.glassdoor.co.in/Reviews/Employee-Review-SBI-Card-RVW57633300.htm","Manager","Current employee, more than 3 years","","Good benefits, stable employment, good, solid firm to work with.","Am unsure what to write here. I don't really have any negatives to highlight in my own experience.","Show more"
"3.0","14 Feb 2019","If you work well you will be getting incentives","https://www.glassdoor.co.in/Reviews/Employee-Review-SBI-Card-RVW24698399.htm","Branch relationship executive","Current employee, less than 1 year","Hyderābād","Incentives incentives incentives incentives incentives","Pressure will be high and you get payment","Show more"
"1.0","26 Apr 2019","TERRIBLE MANAGEMENT, HIGH ON POLITICS, NONSENSE POLICIES","https://www.glassdoor.co.in/Reviews/Employee-Review-SBI-Card-RVW25866324.htm","Team leader","Former employee, more than 3 years","Gurgaon, Haryana","Frequent outings, shift timings (for girls only)","Too much organisational politics, policies that make no sense, real time analysts team shouting on the floor like a vegetable vendor, no growth opportunities, senior leadership team oppresses the team leader, worst experience for someone joining in the middle management.","Show more"
"4.0","20 Aug 2019","Good Place to work","https://www.glassdoor.co.in/Reviews/Employee-Review-SBI-Card-RVW28746708.htm","Anonymous employee","Current employee, more than 1 year","","","",""
"5.0","16 Dec 2021","good service","https://www.glassdoor.co.in/Reviews/Employee-Review-SBI-Card-RVW56760758.htm","Team leader","Current employee","Noida","good customer service
Biggest market share
fast credit card delivery
most satisfied customers
worlds best company","No any cons
no any cons
no any cons
no any cons
no any cons","Show more"
"4.0","2 Jan 2022","im sharing some line when i expercined","https://www.glassdoor.co.in/Reviews/Employee-Review-SBI-Card-RVW57320435.htm","Anonymous employee","Current employee, more than 1 year","New Delhi","","",""
"5.0","12 May 2018","SBI CARD","https://www.glassdoor.co.in/Reviews/Employee-Review-SBI-Card-RVW20553864.htm","Sales trainer","Current employee, less than 1 year","Ahmedabad","SBI Card is a very good organization.","People management is not up to the mark","Show more"
"5.0","5 Apr 2019","Employee centric and all the business heads are very supportive","https://www.glassdoor.co.in/Reviews/Employee-Review-SBI-Card-RVW25537816.htm","Senior executive","Current employee, more than 1 year","New Delhi","Work culture is awesome and everyone is there to help you","Have not found anything negative","Show more"
"3.0","25 Sept 2020","Good Place to Work","https://www.glassdoor.co.in/Reviews/Employee-Review-SBI-Card-RVW36355309.htm","Senior executive - human resources","Former contractor, more than 3 years","Gurgaon, Haryana","Good Place to Work, Supportive Colleagues and Management","No Growth / Opportunity for 3rd Party Employees","Show more"
"2.0","25 Feb 2021","SBI Cards and Payment Services","https://www.glassdoor.co.in/Reviews/Employee-Review-SBI-Card-RVW43074926.htm","Branch relationship executive","Former employee, less than 1 year","Trichy","Good to work in Bank Atmosphere","Their main aim is to complete targets, so they don't care about putting pressure on us.","Show more"
"3.0","10 Sept 2021","The employee culture was not good","https://www.glassdoor.co.in/Reviews/Employee-Review-SBI-Card-RVW52345553.htm","Branch relationship manager","Current employee, less than 1 year","","Actually sbi card is good but the middle of the peoples spoiled for their targets","Salary and incentives are good","Show more"
"1.0","29 Nov 2021","SBI Cards Zero work life balance","https://www.glassdoor.co.in/Reviews/Employee-Review-SBI-Card-RVW55979914.htm","Asm (area sales manager)","Former employee, more than 1 year","Coimbatore","Brand, training and employee benefits","Heads zero knowledge on market. Mostly follow excel no connect with market. Zero knowledge on competition business. Zero work life balance in sales.","Show more"
"2.0","11 Nov 2018","nothing to say","https://www.glassdoor.co.in/Reviews/Employee-Review-SBI-Card-RVW23362105.htm","Anonymous employee","Current employee, more than 1 year","Ahmedabad","easily operate from branch so this is very good","growth related not very good so... this is bad reason for me","Show more"
"4.0","6 Mar 2019","Work life balance at sbicard","https://www.glassdoor.co.in/Reviews/Employee-Review-SBI-Card-RVW25023278.htm","Anonymous employee","Former employee, more than 3 years","Pune","","",""
"5.0","10 Dec 2019","Good to work here","https://www.glassdoor.co.in/Reviews/Employee-Review-SBI-Card-RVW30786888.htm","Associate","Former employee, more than 1 year","Gurgaon, Haryana","Good incentives
Good work culture
Little bit politics on floor","Sometimes work load very high but its Ok as they also have targets","Show more"
"4.0","21 Nov 2020","Its a good banking job","https://www.glassdoor.co.in/Reviews/Employee-Review-SBI-Card-RVW38595536.htm","Sales associate","Current employee","Calcutta","","",""
"5.0","6 Aug 2021","Currently managing a team of 15 members and handling Hunter team - fraud prevention for South India","https://www.glassdoor.co.in/Reviews/Employee-Review-SBI-Card-RVW50765123.htm","Manager","Current employee, more than 3 years","Chennai","Work culture and the management","Nothing, nothing, nothing nothing nothing","Show more"
"4.0","27 Sept 2021","Great place to work","https://www.glassdoor.co.in/Reviews/Employee-Review-SBI-Card-RVW53135712.htm","Collections representative","Current employee, more than 5 years","Chennai","Established organization which some can work with","During the pandemic organization have supported the employees in all possible ways to manage the entire impact","Show more"
"4.0","23 Sept 2019","It's good company but every month incentive is hold","https://www.glassdoor.co.in/Reviews/Employee-Review-SBI-Card-RVW29409450.htm","I am a guide learner","Current employee, more than 1 year","Calcutta","Daily give 2 file and take off","Every month incentive will hold","Show more"
"4.0","31 Oct 2019","Balanced work culture","https://www.glassdoor.co.in/Reviews/Employee-Review-SBI-Card-RVW30122640.htm","Ececutive","Current employee, less than 1 year","Gurgaon, Haryana","Bright  futre if u r with the company for upcoming years","As company is in growing phase so there is pressure too..","Show more"
"5.0","3 Jan 2021","Sales","https://www.glassdoor.co.in/Reviews/Employee-Review-SBI-Card-RVW40026221.htm","Branch relationship executive","Former employee, more than 1 year","Rānchī","Look good to be ther in branch","Work is good and I earn good experience with good good team","Show more"
"4.0","26 Jun 2021","Working in SBI cards as customer service Manager","https://www.glassdoor.co.in/Reviews/Employee-Review-SBI-Card-RVW48952659.htm","Customer service manager","Current employee, more than 10 years","Chennai","","",""
"5.0","10 Sept 2021","Work pressure","https://www.glassdoor.co.in/Reviews/Employee-Review-SBI-Card-RVW52351403.htm","Relationship executive","Former employee, less than 1 year","Nāgpur, Maharashtra","","",""
"4.0","1 Jan 2022","Company is too good to be true.","https://www.glassdoor.co.in/Reviews/Employee-Review-SBI-Card-RVW57282283.htm","Assistant manager marketing","Current employee, more than 1 year","Mumbai","No issues in having leaves sanctioned.","Deadlines are tough to meet.","Show more"
"4.0","4 Feb 2021","Good environment to learn","https://www.glassdoor.co.in/Reviews/Employee-Review-SBI-Card-RVW41993398.htm","Sales and operations manager","Current employee","New Delhi","Almost everything is okay to work in SBI cards","Few things like , process flow, new updation, incentive are not okay","Show more"
"3.0","17 Feb 2021","Highly Political and Burecratic","https://www.glassdoor.co.in/Reviews/Employee-Review-SBI-Card-RVW42634637.htm","Senior human resources manager","Current employee","Gurgaon, Haryana","Stable established business as a subsidiary of SBI","Highly political work atmosphere and severely burecratic and unfriendly towards employees","Show more"
"3.0","6 May 2021","I have been working at SBI card full-time for less than a year","https://www.glassdoor.co.in/Reviews/Employee-Review-SBI-Card-RVW46599907.htm","Collection executive","Current employee","Nāgpur, Maharashtra","Formal Dress Code, Friendly staff","Their is no allowance for traveling","Show more"
"3.0","9 Jul 2018","Overview","https://www.glassdoor.co.in/Reviews/Employee-Review-SBI-Card-RVW21392580.htm","Asm (area sales manager)","Current employee, less than 1 year","Bengaluru","Good company for employee spending salary incentives good profiles","Too much internal issues rapid slow in processes","Show more"
"4.0","7 Jun 2019","Work environment","https://www.glassdoor.co.in/Reviews/Employee-Review-SBI-Card-RVW26530996.htm","Anonymous employee","Current employee","","U get lot of learning in job","Beuracracy need to be re looked","Show more"
"4.0","4 Jul 2019","It was good","https://www.glassdoor.co.in/Reviews/Employee-Review-SBI-Card-RVW27799456.htm","Operations executive","Current employee, more than 1 year","Gurgaon, Haryana","","",""
