review-details_overallRating__VDxCx,timestamp_reviewDate__wvu2v,review-details_detailsLink__NxIv5,review-details_detailsLink__NxIv5 href,review-details_employee__5iA6v,review-details_employeeDetails__BvAwX,review-details_isCollapsed__Bsg_9,review-details_isCollapsed__Bsg_9 2,expand-button_ExpandButton__FlBlZ,review-details_location__E_Ine,review-details_isExpanded__bLJng,review-details_isExpanded__bLJng 2
1.0,19 Dec 2016,Engineering-cum-Sales Officer for a year,https://www.glassdoor.sg/Reviews/Employee-Review-Bharat-Petroleum-RVW13044587.htm,Engineering cum sales officer,"Former employee, less than 1 year","Pay is good for a starting job in the field.
Perks like phone rentals, travel allowances, dearness allowances, etc.
good exposure for sales fellows","no work life balance for sales officers. calls all the time.
constantly shifting priorities because of policy and other fluctuations.
usually aged workforce, not very agile.",Show more,"Farīdābād, Haryana",,
3.0,8 Mar 2019,Always firefighting no constructive work,https://www.glassdoor.sg/Reviews/Employee-Review-Bharat-Petroleum-RVW25072094.htm,Anonymous employee,Former employee,Good salary and job security,No consistency in work. Too much change in decisions. Work pressure is high and always everything is in project mode with too much work load.,Show more,,,
4.0,7 Jan 2016,Operations Engineer,https://www.glassdoor.sg/Reviews/Employee-Review-Bharat-Petroleum-RVW9116173.htm,Operation engineer,"Former employee, more than 1 year","Fortune five hundred company, you will get High Salary as compared to other industries, more incentives, It is a Govt firm","Shift job with more working hours, Man power issue, Pan India transfer policy",Show more,"Tempe, AZ",,
4.0,21 Mar 2016,Assistant Manager Business Finance,https://www.glassdoor.sg/Reviews/Employee-Review-Bharat-Petroleum-RVW9982809.htm,Anonymous employee,Former employee,Good Package. Good Place to learn new things without fear of failure. Good Work life balance.,No Proper Performance Assessment. Limited Growth Opportunities. Pay not as per performance in the long run.,Show more,,,
4.0,26 Mar 2016,Good company,https://www.glassdoor.sg/Reviews/Employee-Review-Bharat-Petroleum-RVW10049010.htm,Executive engineer,Current employee,"Very attractive compensation, perks, good learning",Slow growth as its a public Sector undertaking. Time is your best friend not the performance,Show more,Mumbai,,
2.0,8 Dec 2016,No work life balance. Depends on boss!,https://www.glassdoor.sg/Reviews/Employee-Review-Bharat-Petroleum-RVW12928231.htm,Anonymous employee,Current employee,"1.Good starting pay
2. Job security
3. Relatively clean job for Mechanical engg
4. Flat hierarchy","1. Working for long hours daily
2. Boss centred
3. Learning stunted
4. No work life balance",Show more,,,
1.0,18 Mar 2019,Executive Operations,https://www.glassdoor.sg/Reviews/Employee-Review-Bharat-Petroleum-RVW25229904.htm,Operations executive,"Former employee, more than 3 years","Secure and Stable
Good place if you want a slow life","Culture and working style is Old
Needs a new system
Way too many people employed
Needs more automation
Unsafe and Unhealthy for Field Workers",Show more,Mumbai,,
5.0,16 Feb 2021,Great company to work at,https://www.glassdoor.sg/Reviews/Employee-Review-Bharat-Petroleum-RVW42603750.htm,Assistant manager,Current employee,Management really nice and supportive of new ideas,"plant is old so a lot of emergencies occur, shift life in plant is tough due to manpower shortage and heavy overtime",Show more,Navi Mumbai,,
4.0,14 May 2021,For Apprentice it is hell,https://www.glassdoor.sg/Reviews/Employee-Review-Bharat-Petroleum-RVW46942899.htm,Graduate engineer trainee (get),Former temporary employee,"Learn a lot if officer is good
Good place to start your career.
Innovative
New things to explore
Good canteen service","Officers will give their work to apprentice.
No timing.
No over time
No schedule
Management is not good",Show more,Dehradun,,
4.0,11 Nov 2021,GREAT EMPLOYER TO WORK FOR-  BPCL,https://www.glassdoor.sg/Reviews/Employee-Review-Bharat-Petroleum-RVW55256231.htm,Assistant manager,"Former employee, more than 5 years","Pays you really well, employee benefits are well taken care of.","Growth within the organization is restricted by the PSU rules, which is not comparable with the Private sector.",Show more,,,
4.0,13 Jun 2012,Excellent organisation for research in petroelum and energy sector,https://www.glassdoor.sg/Reviews/Employee-Review-Bharat-Petroleum-RVW1596916.htm,R&d,"Current employee, more than 1 year","Good Infrastructure
Industrially relevant projects
Result oriented approach
Sufficient Freedom in approach
Flexible management","Untimely maintenance of facilities
Slow expansion of permanent work force",Show more,,,
3.0,6 Aug 2016,Depends on people you get to work with,https://www.glassdoor.sg/Reviews/Employee-Review-Bharat-Petroleum-RVW11476267.htm,Anonymous employee,Former employee,"Great learning place for freshers, lead and manage teams and high value work","Culture is old fashioned, not too many youngsters, rigid hierarchy. posting locations can be remote.",Show more,,,
4.0,1 Oct 2016,good if u r hard working,https://www.glassdoor.sg/Reviews/Employee-Review-Bharat-Petroleum-RVW12149247.htm,Engineer,Current employee,work related benefits are too good,language culture and food is a serious issue in kochi refinery,Show more,Koch,,
5.0,2 Dec 2016,Truly best place to work!,https://www.glassdoor.sg/Reviews/Employee-Review-Bharat-Petroleum-RVW12861751.htm,Assistant manager,Current employee,Good value system. Great working culture.,When in doubt there are so many hands to help you out.,Show more,Mumbai,,
4.0,8 Feb 2017,Good experience,https://www.glassdoor.sg/Reviews/Employee-Review-Bharat-Petroleum-RVW13683983.htm,Intern,Former intern,"Very friendly environment, the  manager helped in every aspect and guidance provided","it was a govt. enterprise No matter how good and efficient it may become, attitude remains of a govt employee",Show more,"Raipur, Chhattisgarh",,
4.0,22 May 2018,Sr. Process Engineer,https://www.glassdoor.sg/Reviews/Employee-Review-Bharat-Petroleum-RVW20699424.htm,Anonymous employee,"Former employee, more than 8 years","Opportunities to learn and grow, and to experiment","Some bureaucracy, if you are very good at something then the management would want you to do only that for an extremely long time",Show more,,,
3.0,15 Feb 2019,Satisfactory but not upto your expectations,https://www.glassdoor.sg/Reviews/Employee-Review-Bharat-Petroleum-RVW24727254.htm,Anonymous employee,Current employee,Good benefits and perks and initial pay is good,"No coordination between upper management and lowe management, no work life balance , everything depends on your boss",Show more,,,
3.0,28 Aug 2012,Great Company to Work With,https://www.glassdoor.sg/Reviews/Employee-Review-Bharat-Petroleum-RVW1894070.htm,Assistant manager,"Current employee, more than 1 year",Provides professional environment to work in along with the security of a PSU,Promotion policy is not good and thus hampers career growth,Show more,Noida,,
5.0,5 Apr 2016,Nice Place to work,https://www.glassdoor.sg/Reviews/Employee-Review-Bharat-Petroleum-RVW10159698.htm,Anonymous intern,Former intern,Its a nice place to learn and work together. This place provided the foundation for my carrier. It taught me many things that was useful.,No absorption after intern.,Show more,,,
4.0,28 Jan 2014,Student Trainee,https://www.glassdoor.sg/Reviews/Employee-Review-Bharat-Petroleum-RVW3603590.htm,Student trainee,"Former intern, less than 1 year",The people at the company are very helpful. They realize where your talent lies and try to put you on related projects,The company needs to keep with the world technology.,Show more,Mumbai,,
