"review-details_overallRating__VDxCx","timestamp_reviewDate__wvu2v","review-details_detailsLink__NxIv5","review-details_detailsLink__NxIv5 href","review-details_employee__5iA6v","review-details_employeeDetails__BvAwX","review-details_location__E_Ine","review-details_isExpanded__bLJng","review-details_isExpanded__bLJng 2","review-details_isCollapsed__Bsg_9","review-details_isCollapsed__Bsg_9 2","expand-button_ExpandButton__FlBlZ"
"3.0","29 Oct 2021","Very Good","https://www.glassdoor.co.in/Reviews/Employee-Review-UltraTech-Cement-RVW54670849.htm","Manager, employee relations","Current employee, more than 10 years","Jafrabad","","","Group work culture and ethic","Location and better growth opportunities","Show more"
"4.0","8 Nov 2021","Good","https://www.glassdoor.co.in/Reviews/Employee-Review-UltraTech-Cement-RVW55055428.htm","Anonymous employee","Current employee","","Good company to work with","No cons one can think of","","",""
"2.0","17 Jul 2019","Finance","https://www.glassdoor.co.in/Reviews/Employee-Review-UltraTech-Cement-RVW28074063.htm","Management trainee","Current employee, more than 1 year","Mumbai","Good growth in the sales department","Conventional working methods; slow learning curve","","",""
"3.0","19 Jul 2019","Average.","https://www.glassdoor.co.in/Reviews/Employee-Review-UltraTech-Cement-RVW28113035.htm","Officer","Former employee, more than 8 years","","Company transfer policies to get","Long hours working with low salary","","",""
"4.0","4 Aug 2019","T","https://www.glassdoor.co.in/Reviews/Employee-Review-UltraTech-Cement-RVW28430645.htm","Anonymous employee","Current employee","","Good decent okay nice constant","Boring stagnating simple low growth","","",""
"3.0","28 Jun 2020","Okayish Company","https://www.glassdoor.co.in/Reviews/Employee-Review-UltraTech-Cement-RVW33944712.htm","Intern","Former intern, less than 1 year","Jodhpur, Rajasthan","Free Accomodation at plant itself","Salary on lower side scale","","",""
"4.0","20 Nov 2020","Good","https://www.glassdoor.co.in/Reviews/Employee-Review-UltraTech-Cement-RVW38566765.htm","Anonymous employee","Current employee","","Growth is good and environment","Salary is not upto mark","","",""
"3.0","5 Jul 2021","Job","https://www.glassdoor.co.in/Reviews/Employee-Review-UltraTech-Cement-RVW49328268.htm","Anonymous employee","Former employee","","Good for technical people, good culture","Plant location, away from cities","","",""
"4.0","5 Nov 2021","Good","https://www.glassdoor.co.in/Reviews/Employee-Review-UltraTech-Cement-RVW54966730.htm","Graduate engineering trainee get","Former employee","Reddipālaiyam","Good learning and training provided","Location is a bit remote","","",""
"3.0","6 Dec 2020","Not","https://www.glassdoor.co.in/Reviews/Employee-Review-UltraTech-Cement-RVW39141540.htm","Junior engineer","Current employee, more than 1 year","Amreli","No pros totally worst company","Everything is not good here","","",""
"2.0","7 Jun 2021","Time pass","https://www.glassdoor.co.in/Reviews/Employee-Review-UltraTech-Cement-RVW48033288.htm","Summer intern","Former employee","","Good living facilities in township","In remote area no fun","","",""
"1.0","15 Jul 2017","Not good for non management employees","https://www.glassdoor.co.in/Reviews/Employee-Review-UltraTech-Cement-RVW15910238.htm","Assistant engineer","Current employee, more than 3 years","Alīgarh, Uttar Pradesh","","","Some old employees working in same poast above last  10 years  and waiting for one promotion for go to management categories.","Very poor culture for workings","Show more"
"1.0","25 Jan 2018","Work","https://www.glassdoor.co.in/Reviews/Employee-Review-UltraTech-Cement-RVW18907729.htm","Anonymous employee","Former employee, more than 8 years","","","","Very good system & resources","Not making use of system & resource effectively. Too much politics/partiality created work environment waste. No recognition to talent. Only leaders in position benifited","Show more"
"1.0","10 Jan 2020","Poor work culture","https://www.glassdoor.co.in/Reviews/Employee-Review-UltraTech-Cement-RVW31235184.htm","Anonymous employee","Former employee","","","","Zero no positive points to say","Politics, Hierarchy and colonial culture 
Poor ambience and no respect to employees and co-workers","Show more"
"1.0","24 Dec 2020","Mechanical maintenance engineer","https://www.glassdoor.co.in/Reviews/Employee-Review-UltraTech-Cement-RVW39775356.htm","Senior engineer","Former employee, more than 8 years","Hirmi","","","job security and company policy","Immature managers,Low salary , not able to use talent ,unfair performance review","Show more"
"1.0","14 May 2021","Hr policy","https://www.glassdoor.co.in/Reviews/Employee-Review-UltraTech-Cement-RVW46943211.htm","Senior electrical engineer","Current employee, more than 8 years","Ahmedabad","","","May be good for learning technical skill for get","Huge salary difference between same level of post.","Show more"
"1.0","30 Jul 2014","Worst Experience Ever","https://www.glassdoor.co.in/Reviews/Employee-Review-UltraTech-Cement-RVW4680242.htm","Engineer","Current employee, more than 1 year","","","","No reason to work here","Challenge only to prove yourself against the B.sc Graduates/ Supervisor","Show more"
"1.0","18 Feb 2021","No career","https://www.glassdoor.co.in/Reviews/Employee-Review-UltraTech-Cement-RVW42692086.htm","Anonymous employee","Current employee, more than 1 year","","","","Nothing is good in this company","In every aspect it's worst","Show more"
